section_id;failed_machines_count
010300037;1
010300088;1
010300124;1
011100009;1
013300021;1
013300082;1
013700008;1
014000034;1
020400051;1
020400078;1
020400198;1
020400232;1
020900021;1
030600382;1
030602105;1
030602107;1
030602391;1
030603241;1
030603268;1
030603282;1
030604329;1
040400002;1
040400009;1
040400065;1
040400071;1
042200012;1
042600002;1
050900051;1
051600023;1
061000054;1
072900013;1
072900019;1
072900025;1
082800094;1
082800098;1
091600094;1
091600113;1
092100046;1
093500006;1
104800020;1
104800042;1
110200004;1
111900003;1
120700001;1
151000007;1
151100021;1
152400035;1
152400050;1
162201004;1
162201084;1
162205031;1
162205077;1
162206064;1
170100051;1
170100065;1
171300065;1
171700027;1
172500032;1
172600028;1
173300004;1
173900004;1
174100004;1
181100001;1
181400015;1
200100204;1
203100123;1
203100153;1
203100159;1
211600017;1
212000032;1
212000085;1
234602003;1
234610028;1
234610036;1
234610053;2
234610069;1
234615021;1
234616053;1
234617071;1
244601011;1
244603043;1
244604033;1
244606038;1
244606042;1
244606058;1
244614057;1
254611016;1
254611036;1
254611057;1
254612007;1
254612008;1
254612014;1
254612038;1
254619082;1
254620039;1
254621010;1
262600008;1
263900018;1
283500050;1
290900032;1
290900086;1
292800011;1
302500013;1
310700002;1
312600016;1
322200263;1
322500319;1
323400351;2
324300463;1
