code;name;registration_code;registration_name
240;ЕВРОЛЕВИЦА;1;ДВИЖЕНИЕ ЗАЕДНО ЗА ПРОМЯНА БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ ЕВРОЛЕВИЦА ЕВРОПЕЙСКА СИГУРНОСТ И ИНТЕГРАЦИЯ РОДОЛЮБИЕ 2000
155;ВМРО;2;СВОБОДА
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;3;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
110;БСП;4;БСП ЗА БЪЛГАРИЯ
100;ГЕРБ СДС;5;ГЕРБ СДС
210;АТАКА;6;АТАКА
105;ДПС;7;ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ ДПС
145;ИЗПРАВИ СЕ БГ;8;ИЗПРАВИ СЕ МУТРИ ВЪН
270;МИР;9;МИР
325;БЪЛГАРИЯ НА ТРУДА И РАЗУМА;10;БТР БЪЛГАРИЯ НА ТРУДА И РАЗУМА
120;ВЪЗРАЖДАНЕ;11;ВЪЗРАЖДАНЕ
110;БСП;12;ПОДЕМ
340;БРИГАДА;13;БРИГАДА
225;ПРЯКА ДЕМОКРАЦИЯ;14;ПРЯКА ДЕМОКРАЦИЯ
215;ЦЕНТЪР;15;ГРАЖДАНСКА ПЛАТФОРМА БЪЛГАРСКО ЛЯТО
170;НФСБ;16;БЪЛГАРСКИТЕ ПАТРИОТИ ВМРО ВОЛЯ И НФСБ
190;РУСОФИЛИ И КОМУНИСТИ;17;ЛЯВ СЪЮЗ ЗА ЧИСТА И СВЯТА РЕПУБЛИКА
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;18;ПАРТИЯ НА ЗЕЛЕНИТЕ
235;КОД;19;НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА КОД БЗНС БДФ СЕК
220;ГЛАС НАРОДЕН;20;ГЛАС НАРОДЕН
185;РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ;21;РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ
115;ИМА ТАКЪВ НАРОД;22;ИМА ТАКЪВ НАРОД
135;ДБ;23;ДЕМОКРАТИЧНА БЪЛГАРИЯ ОБЕДИНЕНИЕ ДА БЪЛГАРИЯ ДСБ ЗЕЛЕНО ДВИЖЕНИЕ
999;НЕ ПОДКРЕПЯМ НИКОГО;99;НЕ ПОДКРЕПЯМ НИКОГО
