section_id;failed_machines_count
010100001;1
010300050;1
011300011;1
014000026;1
020400256;1
020400257;1
020400260;1
020400275;1
020800014;1
020800015;1
021200001;1
021500020;1
021700022;1
022100003;1
030602102;1
030602122;1
030602143;1
030603238;1
032400032;1
050900039;1
050900040;1
061000046;1
062100007;1
062800001;1
063500001;1
070500077;1
072900001;1
080300026;1
081200007;1
081500060;1
081700014;1
082800047;1
082800055;1
090200033;1
091600050;1
092100018;1
092100046;1
104100001;1
104800067;1
111800027;1
113400050;1
113400051;1
120200039;1
122900043;1
130800009;1
130800019;1
132900012;1
143200121;1
150300001;1
151100019;1
162202018;1
162205015;1
171300008;1
171300060;1
171300072;1
171700021;1
171700022;1
171700023;1
171700039;1
172500022;1
173300013;1
174000002;1
174300001;1
181400013;1
182600027;1
182600062;1
182900014;1
190500003;1
192700141;1
192700142;1
192700156;1
192700165;1
201500503;1
203100167;1
211600030;1
211600031;1
212000009;1
212000017;1
212000118;1
212000179;1
220900013;1
223800002;1
234602005;1
234602035;1
234609012;1
234610007;1
234610076;1
234615059;1
234615075;1
234615086;1
234615114;1
234617012;1
234617073;1
234623003;1
244601006;1
244605008;1
244607060;1
244614024;1
254613021;1
254613055;1
254618039;1
254619069;1
254624011;1
261700001;1
261700026;1
262000004;1
263400014;1
263900036;1
265900006;1
273600002;1
273600004;1
282300006;1
290900031;1
291700005;1
291900010;1
291900014;1
291900015;1
292800036;1
293200021;1
293400095;1
301800010;1
302300010;1
312200002;1
