section_id;registered_voters
010100001;616
010100002;558
010100003;523
010100004;599
010100005;495
010100006;485
010100007;587
010100008;508
010100009;579
010100010;673
010100011;666
010100012;668
010100013;794
010100014;673
010100015;616
010100016;447
010100017;599
010100018;35
010100019;44
010100020;71
010100021;147
010100022;198
010100023;520
010200001;593
010200002;801
010200003;717
010200004;585
010200005;620
010200006;732
010200007;702
010200008;650
010200009;958
010200011;172
010200012;599
010200013;29
010200014;189
010200015;162
010200016;214
010200017;131
010200018;66
010300001;552
010300002;368
010300003;482
010300004;543
010300005;619
010300006;618
010300007;621
010300008;659
010300009;677
010300010;703
010300011;583
010300012;582
010300013;571
010300014;540
010300015;585
010300016;579
010300017;518
010300018;597
010300019;539
010300020;554
010300021;370
010300022;516
010300023;567
010300024;508
010300025;598
010300026;711
010300027;659
010300028;604
010300029;595
010300030;675
010300031;646
010300032;329
010300033;731
010300034;622
010300035;586
010300036;659
010300037;661
010300038;470
010300039;540
010300040;699
010300041;650
010300042;608
010300043;701
010300044;450
010300045;426
010300046;624
010300047;641
010300048;641
010300049;615
010300050;445
010300051;633
010300052;409
010300053;563
010300054;598
010300055;530
010300056;578
010300057;635
010300058;587
010300059;614
010300060;552
010300061;489
010300062;461
010300063;468
010300064;609
010300065;471
010300066;504
010300067;577
010300068;543
010300069;597
010300070;633
010300071;619
010300072;532
010300073;558
010300074;550
010300075;576
010300076;414
010300077;615
010300078;534
010300079;552
010300080;505
010300081;461
010300082;596
010300083;595
010300084;626
010300085;513
010300086;537
010300087;538
010300088;605
010300089;561
010300090;539
010300091;481
010300092;612
010300093;624
010300094;516
010300095;695
010300096;856
010300097;396
010300098;627
010300099;539
010300100;656
010300101;526
010300102;548
010300103;373
010300104;691
010300105;493
010300106;396
010300107;375
010300108;536
010300109;509
010300110;452
010300111;586
010300112;659
010300113;555
010300114;521
010300115;552
010300116;558
010300117;498
010300118;511
010300119;621
010300120;593
010300121;2971
010300122;31
010300123;464
010300124;564
010300125;702
010300126;53
010300127;577
010300128;729
010300129;6535
010300130;4775
010300131;607
010300132;192
010300133;567
010300134;132
010300135;256
010300136;62
010300137;4574
010300138;66
010300139;456
011100001;932
011100002;877
011100003;924
011100004;726
011100005;678
011100006;765
011100007;545
011100008;854
011100009;682
011100010;592
011100011;612
011100012;760
011100013;695
011100014;848
011100015;854
011100016;790
011100017;950
011100018;988
011100019;1094
011100020;704
011100021;847
011100022;852
011100024;651
011100025;618
011100026;474
011100027;428
011100028;420
011100029;487
011100030;396
011100031;835
011100032;741
011100033;672
011100034;795
011100035;810
011100036;518
011100037;557
011100038;652
011100039;814
011100040;719
011100041;24
011100042;36
011300001;784
011300002;723
011300003;147
011300004;865
011300005;758
011300006;639
011300007;608
011300008;1013
011300010;958
011300011;858
011300012;46
011300013;212
011300014;123
011300015;658
011300016;714
011300017;190
011300018;451
011300019;893
011300020;728
011300021;674
011300022;228
011300023;1079
012800001;605
012800002;596
012800003;531
012800004;594
012800005;600
012800006;407
012800007;527
012800008;475
012800009;76
012800010;74
013300001;880
013300002;852
013300003;920
013300004;905
013300005;955
013300006;890
013300007;903
013300008;918
013300009;915
013300010;991
013300011;987
013300012;1014
013300013;882
013300014;885
013300015;924
013300016;903
013300017;878
013300018;978
013300019;973
013300020;1046
013300021;1000
013300022;976
013300023;813
013300024;819
013300025;936
013300026;961
013300027;978
013300028;944
013300029;827
013300030;883
013300031;743
013300032;813
013300033;935
013300034;886
013300035;942
013300036;788
013300037;442
013300038;609
013300039;350
013300040;211
013300041;499
013300042;552
013300043;108
013300044;134
013300045;121
013300046;571
013300047;655
013300048;75
013300049;270
013300050;169
013300051;836
013300052;618
013300053;436
013300054;401
013300055;473
013300056;453
013300057;456
013300058;116
013300059;625
013300060;614
013300061;582
013300062;575
013300063;590
013300064;705
013300065;561
013300066;343
013300067;126
013300068;85
013300069;40
013300070;147
013300071;209
013300072;57
013300073;40
013300074;35
013300075;320
013300076;89
013300077;85
013300078;43
013300079;103
013300080;91
013300081;497
013300082;484
013300083;598
013300084;552
013300085;548
013300086;745
013300087;262
013300088;842
013300089;844
013300090;729
013300091;481
013300092;810
013700001;663
013700002;612
013700003;724
013700004;731
013700005;636
013700006;662
013700007;564
013700008;720
013700009;708
013700010;753
013700011;540
013700012;667
013700013;512
013700014;602
013700015;756
013700016;667
013700017;654
013700018;669
013700019;428
013700020;794
013700021;752
013700022;774
013700023;514
013700024;763
013700025;489
013700026;607
013700027;522
014000001;767
014000002;764
014000003;832
014000004;878
014000005;807
014000006;873
014000007;825
014000008;708
014000009;451
014000010;489
014000011;790
014000012;741
014000013;872
014000014;840
014000015;702
014000016;795
014000017;765
014000018;886
014000019;828
014000020;800
014000021;711
014000022;525
014000023;721
014000024;618
014000025;869
014000026;820
014000027;927
