code;name;registration_code;registration_name
155;ВМРО;1;ВМРО БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ
280;КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ;2;НИЕ ГРАЖДАНИТЕ КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ БЪЛГАРСКА ДЕМОКРАТИЧНА ОБЩНОСТ
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;3;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
110;БСП;4;БСП ЗА БЪЛГАРИЯ
120;ВЪЗРАЖДАНЕ;5;ВЪЗРАЖДАНЕ
230;АБВ;6;АБВ
210;АТАКА;7;АТАКА
235;КОД;8;КОНСЕРВАТИВНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА КОД
105;ДПС;9;ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ ДПС
190;РУСОФИЛИ И КОМУНИСТИ;10;БЪЛГАРСКА ПРОГРЕСИВНА ЛИНИЯ
135;ДБ;11;ДЕМОКРАТИЧНА БЪЛГАРИЯ ОБЕДИНЕНИЕ ДА БЪЛГАРИЯ ДСБ ЗЕЛЕНО ДВИЖЕНИЕ
190;РУСОФИЛИ И КОМУНИСТИ;12;ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО
240;ЕВРОЛЕВИЦА;13;ДВИЖЕНИЕ ЗАЕДНО ЗА ПРОМЯНА БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ ЕВРОЛЕВИЦА ЕВРОПЕЙСКА СИГУРНОСТ И ИНТЕГРАЦИЯ РОДОЛЮБИЕ 2000
175;БНО;14;БНО
255;КОЙ;15;НАЦИЯ
270;МИР;16;МИР
315;ГРАЖДАНИ ОТ ПРОТЕСТА;17;ГРАЖДАНИ ОТ ПРОТЕСТА
145;ИЗПРАВИ СЕ БГ;18;ИЗПРАВИ СЕ МУТРИ ВЪН
220;ГЛАС НАРОДЕН;19;ГЛАС НАРОДЕН
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;20;ДВИЖЕНИЕ НА НЕПАРТИЙНИТЕ КАНДИДАТИ
185;РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ;21;РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ
275;ПРАВОТО;22;ПРАВОТО
320;БЛАГОДЕНСТВИЕ ОБЕДИНЕНИЕ ГРАДИВНОСТ;23;БЛАГОДЕНСТВИЕ ОБЕДИНЕНИЕ ГРАДИВНОСТ
170;НФСБ;24;ПАТРИОТИЧНА КОАЛИЦИЯ ВОЛЯ И НФСБ
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;25;ПАРТИЯ НА ЗЕЛЕНИТЕ
265;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ;26;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ
260;БСДД;27;БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ БСДД
100;ГЕРБ СДС;28;ГЕРБ СДС
115;ИМА ТАКЪВ НАРОД;29;ИМА ТАКЪВ НАРОД
225;ПРЯКА ДЕМОКРАЦИЯ;30;ПРЯКА ДЕМОКРАЦИЯ
999;НЕ ПОДКРЕПЯМ НИКОГО;99;НЕ ПОДКРЕПЯМ НИКОГО
