section_id;rik_code;rik_name;municipality_code;municipality;ekatte;postal_code;city;address;is_mobile;is_on_ship;machines_count;failed_machines_count;longitude;latitude
010100001;01;Благоевград;0101;Банско;2676;2770;гр.Банско;гр. Банско;0;0;1;1;23.4883022;41.8403358
010100002;01;Благоевград;0101;Банско;2676;2770;гр.Банско;гр. Банско;0;0;1;0;23.4914809;41.8383726
010100003;01;Благоевград;0101;Банско;2676;2770;гр.Банско;гр. Банско;0;0;1;0;23.4914809;41.8383726
010100004;01;Благоевград;0101;Банско;2676;2770;гр.Банско;гр. Банско;0;0;1;0;23.4901954;41.8372964
010100005;01;Благоевград;0101;Банско;2676;2770;гр.Банско;гр. Банско;0;0;1;0;23.4876308;41.8365763
010100006;01;Благоевград;0101;Банско;2676;2770;гр.Банско;гр. Банско;0;0;1;0;23.485653;41.8404241
010100007;01;Благоевград;0101;Банско;2676;2770;гр.Банско;гр. Банско;0;0;1;0;23.485653;41.8404241
010100008;01;Благоевград;0101;Банско;2676;2770;гр.Банско;гр. Банско;0;0;1;0;23.4914809;41.8383726
010100009;01;Благоевград;0101;Банско;2676;2770;гр.Банско;гр. Банско;0;0;1;0;23.4914809;41.8383726
010100010;01;Благоевград;0101;Банско;2676;2770;гр.Банско;гр. Банско;0;0;1;0;23.485653;41.8404241
010100011;01;Благоевград;0101;Банско;2676;2770;гр.Банско;гр. Банско;0;0;1;0;23.4883022;41.8403358
010100012;01;Благоевград;0101;Банско;2676;2770;гр.Банско;гр. Банско;0;0;1;0;23.4883022;41.8403358
010100013;01;Благоевград;0101;Банско;2676;2770;гр.Банско;гр. Банско;0;0;1;0;23.485653;41.8404241
010100014;01;Благоевград;0101;Банско;21498;2777;гр.Добринище;гр. Добринище;0;0;1;0;23.5587295;41.8213139
010100015;01;Благоевград;0101;Банско;21498;2777;гр.Добринище;гр. Добринище;0;0;1;0;23.5642932;41.8201537
010100016;01;Благоевград;0101;Банско;21498;2777;гр.Добринище;гр. Добринище;0;0;1;0;23.5642932;41.8201537
010100017;01;Благоевград;0101;Банско;21498;2777;гр.Добринище;гр. Добринище;0;0;1;0;23.5642739;41.8212564
010100018;01;Благоевград;0101;Банско;17381;2773;с.Гостун;с. Гостун;0;0;0;0;23.6904144;41.7973236
010100019;01;Благоевград;0101;Банско;54136;2774;с.Осеново;с. Осеново;0;0;0;0;23.7255262;41.778439
010100020;01;Благоевград;0101;Банско;53059;2776;с.Обидим;с. Обидим;0;0;0;0;23.6406848;41.787535
010100021;01;Благоевград;0101;Банско;39614;2771;с.Кремен;с. Кремен;0;0;0;0;23.6384692;41.7449665
010100022;01;Благоевград;0101;Банско;47857;2772;с.Места;с. Места;0;0;0;0;23.6710502;41.76304820000001
010100023;01;Благоевград;0101;Банско;76090;2775;с.Филипово;с. Филипово;0;0;1;0;23.6827936;41.7638712
010200001;01;Благоевград;0102;Белица;3504;2780;гр.Белица;гр. Белица;0;0;1;0;23.5592214;41.9507744
010200002;01;Благоевград;0102;Белица;3504;2780;гр.Белица;гр. Белица;0;0;1;0;23.5592214;41.9507744
010200003;01;Благоевград;0102;Белица;3504;2780;гр.Белица;гр. Белица;0;0;1;0;23.5587856;41.9502544
010200004;01;Благоевград;0102;Белица;3504;2780;гр.Белица;гр. Белица;0;0;1;0;23.5627182;41.948201
010200005;01;Благоевград;0102;Белица;20064;2779;с.Дагоново;с. Дагоново;0;0;1;0;23.5952654;41.9543764
010200006;01;Благоевград;0102;Белица;39270;2781;с.Краище;с. Краище;0;0;1;0;23.5875784;41.9174565
010200007;01;Благоевград;0102;Белица;39270;2781;с.Краище;с. Краище;0;0;1;0;23.5875784;41.9174565
010200008;01;Благоевград;0102;Белица;39270;2781;с.Краище;с. Краище;0;0;1;0;23.5875784;41.9174565
010200009;01;Благоевград;0102;Белица;77596;2783;с.Горно Краище;с. Горно Краище;0;0;1;0;23.5897981;41.9007099
010200010;01;Благоевград;0102;Белица;77596;2783;с.Горно Краище;с. Горно Краище;0;0;1;0;23.6318549;41.946486
010200011;01;Благоевград;0102;Белица;44762;2791;с.Лютово;с. Лютово;0;0;0;0;23.6815272;41.9552065
010200012;01;Благоевград;0102;Белица;2107;2784;с.Бабяк;с. Бабяк;0;0;1;0;23.6509826;41.9771168
010200013;01;Благоевград;0102;Белица;15638;2784;с.Гълъбово;с. Гълъбово;0;0;0;0;23.6563354;41.9386585
010200014;01;Благоевград;0102;Белица;40453;2788;с.Кузьово;с. Кузьово;0;0;0;0;23.6716827;41.9110582
010200015;01;Благоевград;0102;Белица;59330;2782;с.Палатик;с. Палатик;0;0;0;0;23.7085613;41.9491075
010200016;01;Благоевград;0102;Белица;80649;2787;с.Черешово;с. Черешово;0;0;0;0;23.7376959;41.9669224
010200017;01;Благоевград;0102;Белица;53998;2785;с.Орцево;с. Орцево;0;0;0;0;23.7557994;41.9221114
010200018;01;Благоевград;0102;Белица;14521;2783;с.Златарица;с. Златарица;0;0;0;0;23.5592214;41.9507744
010200019;01;Благоевград;0102;Белица;3504;2780;гр.Белица;гр. Белица;1;0;0;0;23.5592214;41.9507744
010300001;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1034689;42.0210956
010300002;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1034689;42.0210956
010300003;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.10069;42.01758
010300004;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.10069;42.01758
010300005;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.10069;42.01758
010300006;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1018883;42.012072
010300007;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1018883;42.012072
010300008;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1027003;42.0074659
010300009;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1027003;42.0074659
010300010;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1027003;42.0074659
010300011;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1039812;42.0249235
010300012;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1039812;42.0249235
010300013;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1039812;42.0249235
010300014;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1039812;42.0249235
010300015;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1039812;42.0249235
010300016;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1003164;42.0242042
010300017;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.102022;42.0216821
010300018;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1003164;42.0242042
010300019;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1039812;42.0249235
010300020;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1039812;42.0249235
010300021;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1003164;42.0242042
010300022;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1003164;42.0242042
010300023;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.1003164;42.0242042
010300024;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.102022;42.0216821
010300025;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.102022;42.0216821
010300026;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.0939133;42.0170836
010300027;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.0939133;42.0170836
010300028;01;Благоевград;0103;Благоевград;4279;2700;гр.Благоевград;гр. Благоевград;0;0;1;0;23.0921035;42.0182666
