code;name;registration_code;registration_sub_code;registration_name
100;ГЕРБ СДС;28;0;ГЕРБ СДС
105;ДПС;9;0;ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ ДПС
110;БСП;4;0;БСП ЗА БЪЛГАРИЯ
115;ИМА ТАКЪВ НАРОД;29;0;ИМА ТАКЪВ НАРОД
120;ВЪЗРАЖДАНЕ;5;0;ВЪЗРАЖДАНЕ
135;ДБ;11;0;ДЕМОКРАТИЧНА БЪЛГАРИЯ ОБЕДИНЕНИЕ ДА БЪЛГАРИЯ ДСБ ЗЕЛЕНО ДВИЖЕНИЕ
145;ИЗПРАВИ СЕ БГ;18;0;ИЗПРАВИ СЕ МУТРИ ВЪН
155;ВМРО;1;0;ВМРО БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ
170;НФСБ;24;0;ПАТРИОТИЧНА КОАЛИЦИЯ ВОЛЯ И НФСБ
175;БНО;14;0;БНО
185;РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ;21;0;РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ
190;РУСОФИЛИ И КОМУНИСТИ;10;0;БЪЛГАРСКА ПРОГРЕСИВНА ЛИНИЯ
190;РУСОФИЛИ И КОМУНИСТИ;12;0;ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;25;0;ПАРТИЯ НА ЗЕЛЕНИТЕ
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;20;0;ДВИЖЕНИЕ НА НЕПАРТИЙНИТЕ КАНДИДАТИ
210;АТАКА;7;0;АТАКА
220;ГЛАС НАРОДЕН;19;0;ГЛАС НАРОДЕН
225;ПРЯКА ДЕМОКРАЦИЯ;30;0;ПРЯКА ДЕМОКРАЦИЯ
230;АБВ;6;0;АБВ
235;КОД;8;0;КОНСЕРВАТИВНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА КОД
240;ЕВРОЛЕВИЦА;13;0;ДВИЖЕНИЕ ЗАЕДНО ЗА ПРОМЯНА БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ ЕВРОЛЕВИЦА ЕВРОПЕЙСКА СИГУРНОСТ И ИНТЕГРАЦИЯ РОДОЛЮБИЕ 2000
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;3;0;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
255;КОЙ;15;0;НАЦИЯ
260;БСДД;27;0;БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ БСДД
265;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ;26;0;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ
270;МИР;16;0;МИР
275;ПРАВОТО;22;0;ПРАВОТО
280;КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ;2;0;НИЕ ГРАЖДАНИТЕ КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ БЪЛГАРСКА ДЕМОКРАТИЧНА ОБЩНОСТ
315;ГРАЖДАНИ ОТ ПРОТЕСТА;17;0;ГРАЖДАНИ ОТ ПРОТЕСТА
320;БЛАГОДЕНСТВИЕ ОБЕДИНЕНИЕ ГРАДИВНОСТ;23;0;БЛАГОДЕНСТВИЕ ОБЕДИНЕНИЕ ГРАДИВНОСТ
710;ДАВИД ЛЕОН ЛЕВИ;31;24;ДАВИД ЛЕОН ЛЕВИ
715;ПЛАМЕН ВЛАДИМИРОВ МАСАРЛИЕВ;31;1;ПЛАМЕН ВЛАДИМИРОВ МАСАРЛИЕВ
999;НЕ ПОДКРЕПЯМ НИКОГО;99;0;НЕ ПОДКРЕПЯМ НИКОГО
