code;name;registration_code;registration_sub_code;registration_name
100;ГЕРБ СДС;18;0;ГЕРБ СДС
110;БСП;28;0;БСП ОБЕДИНЕНА ЛЕВИЦА
115;ИМА ТАКЪВ НАРОД;7;0;ИМА ТАКЪВ НАРОД
120;ВЪЗРАЖДАНЕ;12;0;ВЪЗРАЖДАНЕ
125;ППДБ;26;0;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА ДЕМОКРАТИЧНА БЪЛГАРИЯ
130;ДПС НОВО НАЧАЛО;8;0;ДПС НОВО НАЧАЛО
140;АПС;13;0;АЛИАНС ЗА ПРАВА И СВОБОДИ АПС
150;ВЕЛИЧИЕ;4;0;ВЕЛИЧИЕ
165;МЕЧ;17;0;МЕЧ
180;БЪЛГАРСКИ ВЪЗХОД;27;0;БЪЛГАРСКИ ВЪЗХОД
185;РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ;22;0;КП СВОБОДНИ ИЗБИРАТЕЛИ РБ ССД И ЗС
190;РУСОФИЛИ И КОМУНИСТИ;25;0;КП РУСОФИЛИ ЗА БЪЛГАРИЯ
190;РУСОФИЛИ И КОМУНИСТИ;3;0;СОЦИАЛИСТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ПЪТ
200;СИНЯ БЪЛГАРИЯ;16;0;СИНЯ БЪЛГАРИЯ
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;10;0;ПАРТИЯ НА ЗЕЛЕНИТЕ
210;АТАКА;19;0;АТАКА
220;ГЛАС НАРОДЕН;2;0;ГЛАС НАРОДЕН
225;ПРЯКА ДЕМОКРАЦИЯ;21;0;ПРЯКА ДЕМОКРАЦИЯ
240;ЕВРОЛЕВИЦА;6;0;МОЯ СТРАНА БЪЛГАРИЯ
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;14;0;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
250;ИСТИНАТА И САМО ИСТИНАТА;20;0;НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА
255;КОЙ;24;0;КОЙ
260;БСДД;15;0;БСДД ДИРЕКТНА ДЕМОКРАЦИЯ
275;ПРАВОТО;11;0;ПРАВОТО
325;БЪЛГАРИЯ НА ТРУДА И РАЗУМА;23;0;БТР БЪЛГАРИЯ НА ТРУДА И РАЗУМА
330;ДОСТ;1;0;ДОСТ
340;БРИГАДА;9;0;БРИГАДА
345;БУЛГАРИ;5;0;БУЛГАРИ
700;ЧАВДАР ИВАНОВ ПОПОВ;29;15;ЧАВДАР ИВАНОВ ПОПОВ
999;НЕ ПОДКРЕПЯМ НИКОГО;99;0;НЕ ПОДКРЕПЯМ НИКОГО
