section_id;failed_machines_count
010200007;1
011300017;1
013300077;1
013300078;1
014200016;1
014400013;1
015300012;1
020400183;1
021800011;1
030601080;1
030602388;1
030603195;1
030604303;1
040400092;1
042200039;1
050900017;1
060800012;1
062800010;1
073500019;1
082700027;1
091400040;1
091500007;1
122600004;1
122900024;1
131900084;1
132000003;1
152400048;1
152400203;1
162201046;1
170100055;1
172300035;1
172600043;1
173300004;1
190500011;1
190500012;1
192700122;1
192700130;1
192700140;1
192700187;1
203100112;1
203100116;1
203100118;1
203100150;1
211600016;1
212000059;1
212000102;1
212000118;1
221600001;1
234602005;1
234602008;1
234609023;1
234609061;1
234610005;1
234610044;1
234617012;1
244604035;1
244606032;1
254619126;1
271200031;1
273100148;1
292800025;1
303000032;1
312500014;1
321180572;1
