section_id;party;votes
010100001;2;0
010100001;4;3
010100001;5;0
010100001;6;1
010100001;7;12
010100001;8;0
010100001;9;0
010100001;10;1
010100001;11;0
010100001;12;24
010100001;13;0
010100001;14;1
010100001;15;0
010100001;16;0
010100001;17;10
010100001;18;45
010100001;19;1
010100001;20;0
010100001;21;0
010100001;22;0
010100001;23;0
010100001;24;0
010100001;25;2
010100001;26;31
010100001;27;0
010100001;28;15
010100001;99;10
010100002;2;1
010100002;4;2
010100002;5;1
010100002;6;0
010100002;7;16
010100002;8;1
010100002;9;0
010100002;10;0
010100002;11;0
010100002;12;17
010100002;13;0
010100002;14;0
010100002;15;0
010100002;16;0
010100002;17;5
010100002;18;56
010100002;19;0
010100002;20;0
010100002;21;0
010100002;22;0
010100002;23;0
010100002;24;0
010100002;25;0
010100002;26;30
010100002;27;3
010100002;28;9
010100002;99;8
010100003;2;1
010100003;4;1
010100003;5;0
010100003;6;0
010100003;7;7
010100003;8;3
010100003;9;0
010100003;10;0
010100003;11;0
010100003;12;9
010100003;13;0
010100003;14;0
010100003;15;0
010100003;16;3
010100003;17;3
010100003;18;44
010100003;19;0
010100003;20;0
010100003;21;0
010100003;22;0
010100003;23;0
010100003;24;0
010100003;25;0
010100003;26;10
010100003;27;2
010100003;28;2
010100003;99;1
010100004;2;0
010100004;4;3
010100004;5;0
010100004;6;0
010100004;7;6
010100004;8;2
010100004;9;0
010100004;10;0
010100004;11;0
010100004;12;11
010100004;13;0
010100004;14;0
010100004;15;0
010100004;16;0
010100004;17;5
010100004;18;43
010100004;19;0
010100004;20;0
010100004;21;0
010100004;22;0
010100004;23;0
010100004;24;0
010100004;25;1
010100004;26;45
010100004;27;0
010100004;28;19
010100004;99;10
010100005;2;0
010100005;4;7
010100005;5;0
010100005;6;0
010100005;7;4
010100005;8;1
010100005;9;0
010100005;10;0
010100005;11;1
010100005;12;18
010100005;13;0
010100005;14;0
010100005;15;0
010100005;16;1
010100005;17;3
010100005;18;51
010100005;19;0
010100005;20;0
010100005;21;1
010100005;22;1
010100005;23;0
010100005;24;0
010100005;25;1
010100005;26;21
010100005;27;1
010100005;28;5
010100005;99;3
010100006;2;0
010100006;4;2
010100006;5;0
010100006;6;0
010100006;7;3
010100006;8;5
010100006;9;0
010100006;10;0
010100006;11;0
010100006;12;12
010100006;13;0
010100006;14;0
010100006;15;0
010100006;16;0
010100006;17;5
010100006;18;19
010100006;19;0
010100006;20;0
010100006;21;0
010100006;22;0
010100006;23;1
010100006;24;0
010100006;25;0
010100006;26;19
010100006;27;0
010100006;28;4
010100006;99;7
010100007;2;2
010100007;4;6
010100007;5;0
010100007;6;0
010100007;7;8
010100007;8;2
010100007;9;0
010100007;10;0
010100007;11;0
010100007;12;18
010100007;13;0
010100007;14;0
010100007;15;0
010100007;16;2
010100007;17;4
010100007;18;47
010100007;19;0
010100007;20;0
010100007;21;0
010100007;22;0
010100007;23;1
010100007;24;0
010100007;25;0
010100007;26;12
010100007;27;0
010100007;28;3
010100007;99;6
010100008;2;0
010100008;4;6
010100008;5;0
010100008;6;0
010100008;7;11
010100008;8;4
010100008;9;0
010100008;10;0
010100008;11;0
010100008;12;14
010100008;13;0
010100008;14;0
010100008;15;1
010100008;16;1
010100008;17;2
010100008;18;57
010100008;19;0
010100008;20;0
010100008;21;2
010100008;22;0
010100008;23;0
010100008;24;0
010100008;25;2
010100008;26;17
010100008;27;0
010100008;28;9
010100008;99;5
010100009;2;1
010100009;4;4
010100009;5;0
010100009;6;0
010100009;7;14
010100009;8;0
010100009;9;0
010100009;10;1
010100009;11;0
010100009;12;20
010100009;13;0
010100009;14;0
010100009;15;0
010100009;16;1
010100009;17;8
010100009;18;48
010100009;19;1
010100009;20;0
010100009;21;1
010100009;22;0
010100009;23;0
010100009;24;0
010100009;25;0
010100009;26;24
010100009;27;1
010100009;28;8
010100009;99;7
010100010;2;0
010100010;4;1
010100010;5;0
010100010;6;0
010100010;7;14
010100010;8;1
010100010;9;0
010100010;10;1
010100010;11;0
010100010;12;17
010100010;13;0
010100010;14;0
010100010;15;1
010100010;16;0
010100010;17;5
010100010;18;54
010100010;19;0
010100010;20;0
010100010;21;0
010100010;22;0
010100010;23;0
010100010;24;0
010100010;25;2
010100010;26;32
010100010;27;1
010100010;28;7
010100010;99;6
010100011;2;0
010100011;4;1
010100011;5;0
010100011;6;0
010100011;7;1
010100011;8;4
010100011;9;0
010100011;10;0
010100011;11;0
010100011;12;6
010100011;13;0
010100011;14;0
010100011;15;0
010100011;16;0
010100011;17;4
010100011;18;18
010100011;19;0
010100011;20;0
010100011;21;0
010100011;22;0
010100011;23;0
010100011;24;0
010100011;25;0
010100011;26;5
010100011;27;0
010100011;28;3
010100011;99;2
010100012;2;0
010100012;4;4
010100012;5;0
010100012;6;0
010100012;7;17
010100012;8;1
010100012;9;1
010100012;10;0
010100012;11;0
010100012;12;13
010100012;13;0
010100012;14;0
010100012;15;0
010100012;16;1
010100012;17;8
010100012;18;66
010100012;19;0
010100012;20;0
010100012;21;0
010100012;22;0
010100012;23;0
010100012;24;0
010100012;25;0
010100012;26;23
010100012;27;2
010100012;28;9
010100012;99;7
010100013;2;1
010100013;4;4
010100013;5;1
010100013;6;0
010100013;7;16
010100013;8;4
010100013;9;0
010100013;10;0
010100013;11;0
010100013;12;25
010100013;13;1
010100013;14;0
010100013;15;0
010100013;16;1
010100013;17;15
010100013;18;79
010100013;19;0
010100013;20;0
010100013;21;0
010100013;22;2
010100013;23;0
010100013;24;0
010100013;25;0
010100013;26;39
010100013;27;1
010100013;28;11
010100013;99;13
010100014;2;0
010100014;4;3
010100014;5;0
010100014;6;0
010100014;7;3
010100014;8;1
010100014;9;0
010100014;10;0
010100014;11;0
010100014;12;13
010100014;13;0
010100014;14;0
010100014;15;0
010100014;16;2
010100014;17;6
010100014;18;69
010100014;19;0
010100014;20;0
010100014;21;0
010100014;22;0
010100014;23;0
010100014;24;0
010100014;25;0
010100014;26;41
010100014;27;0
010100014;28;16
010100014;99;8
010100015;2;0
010100015;4;3
010100015;5;0
010100015;6;0
010100015;7;4
010100015;8;3
010100015;9;0
010100015;10;0
010100015;11;0
010100015;12;5
010100015;13;0
010100015;14;0
010100015;15;0
010100015;16;1
010100015;17;4
010100015;18;39
010100015;19;0
010100015;20;0
010100015;21;0
010100015;22;0
010100015;23;0
010100015;24;0
010100015;25;0
010100015;26;19
010100015;27;0
010100015;28;6
010100015;99;5
010100016;2;1
010100016;4;1
010100016;5;0
010100016;6;0
010100016;7;2
010100016;8;0
010100016;9;0
010100016;10;0
010100016;11;0
010100016;12;5
010100016;13;1
010100016;14;0
010100016;15;0
010100016;16;0
010100016;17;3
010100016;18;12
010100016;19;0
010100016;20;0
010100016;21;0
010100016;22;0
010100016;23;0
010100016;24;0
010100016;25;0
010100016;26;10
010100016;27;0
010100016;28;8
010100016;99;3
010100017;2;0
010100017;4;6
010100017;5;0
010100017;6;0
010100017;7;7
010100017;8;1
010100017;9;0
010100017;10;0
010100017;11;1
010100017;12;13
010100017;13;0
010100017;14;0
010100017;15;0
010100017;16;6
010100017;17;2
010100017;18;47
010100017;19;0
010100017;20;0
010100017;21;0
010100017;22;0
010100017;23;0
010100017;24;0
010100017;25;0
010100017;26;17
010100017;27;0
010100017;28;5
010100017;99;1
010100023;2;0
010100023;4;0
010100023;5;0
010100023;6;0
010100023;7;3
010100023;8;12
010100023;9;0
010100023;10;0
010100023;11;0
010100023;12;2
010100023;13;5
010100023;14;0
010100023;15;0
010100023;16;0
010100023;17;1
010100023;18;10
010100023;19;0
010100023;20;0
010100023;21;0
010100023;22;0
010100023;23;0
010100023;24;0
010100023;25;0
010100023;26;1
010100023;27;0
010100023;28;0
010100023;99;3
010200001;2;0
010200001;4;1
010200001;5;1
010200001;6;0
010200001;7;0
010200001;8;21
010200001;9;0
010200001;10;0
010200001;11;0
010200001;12;6
010200001;13;0
010200001;14;0
010200001;15;0
010200001;16;0
010200001;17;7
010200001;18;6
010200001;19;0
010200001;20;0
010200001;21;0
010200001;22;0
010200001;23;0
010200001;24;1
010200001;25;0
010200001;26;4
010200001;27;0
010200001;28;8
010200001;99;5
010200002;2;0
010200002;4;0
010200002;5;0
010200002;6;0
010200002;7;0
010200002;8;1
010200002;9;0
010200002;10;0
010200002;11;0
010200002;12;2
010200002;13;0
010200002;14;0
010200002;15;0
010200002;16;0
010200002;17;1
010200002;18;4
010200002;19;0
010200002;20;0
010200002;21;0
010200002;22;0
010200002;23;0
010200002;24;0
010200002;25;0
010200002;26;7
010200002;27;0
010200002;28;1
010200002;99;0
010200003;2;0
010200003;4;1
010200003;5;0
010200003;6;0
010200003;7;2
010200003;8;46
010200003;9;0
010200003;10;0
010200003;11;0
010200003;12;9
010200003;13;4
010200003;14;0
010200003;15;0
010200003;16;0
010200003;17;5
010200003;18;10
010200003;19;0
010200003;20;0
010200003;21;0
010200003;22;0
010200003;23;0
010200003;24;0
010200003;25;0
010200003;26;3
010200003;27;0
010200003;28;5
010200003;99;2
010200004;2;0
010200004;4;0
010200004;5;0
010200004;6;0
010200004;7;0
010200004;8;10
010200004;9;0
010200004;10;0
010200004;11;0
010200004;12;2
010200004;13;0
010200004;14;0
010200004;15;0
010200004;16;0
010200004;17;0
010200004;18;4
010200004;19;0
010200004;20;0
010200004;21;0
010200004;22;0
010200004;23;0
010200004;24;0
010200004;25;0
010200004;26;2
010200004;27;0
010200004;28;3
010200004;99;0
010200005;2;0
010200005;4;1
010200005;5;0
010200005;6;0
010200005;7;0
010200005;8;4
010200005;9;0
010200005;10;0
010200005;11;0
010200005;12;0
010200005;13;1
010200005;14;0
010200005;15;0
010200005;16;0
010200005;17;0
010200005;18;1
010200005;19;0
010200005;20;0
010200005;21;0
010200005;22;0
010200005;23;0
010200005;24;0
010200005;25;0
010200005;26;0
010200005;27;0
010200005;28;1
010200005;99;0
010200006;2;0
010200006;4;0
010200006;5;0
010200006;6;0
010200006;7;0
010200006;8;54
010200006;9;0
010200006;10;0
010200006;11;0
010200006;12;1
010200006;13;18
010200006;14;0
010200006;15;0
010200006;16;0
010200006;17;0
010200006;18;2
010200006;19;0
010200006;20;0
010200006;21;0
010200006;22;0
010200006;23;0
010200006;24;0
010200006;25;0
010200006;26;1
010200006;27;0
