section_id;registered_voters
010100001;625
010100002;544
010100003;513
010100004;587
010100005;478
010100006;472
010100007;562
010100008;494
010100009;627
010100010;703
010100011;693
010100012;642
010100013;884
010100014;643
010100015;614
010100016;442
010100017;593
010100018;24
010100019;29
010100020;71
010100021;129
010100022;187
010100023;530
010200001;587
010200002;831
010200003;711
010200004;555
010200005;627
010200006;747
010200007;723
010200008;646
010200009;963
010200010;159
010200011;599
010200012;30
010200013;187
010200014;174
010200015;199
010200016;117
010200017;65
010300001;568
010300002;344
010300003;487
010300004;550
010300005;634
010300006;603
010300007;643
010300008;668
010300009;679
010300010;674
010300011;596
010300012;585
010300013;562
010300014;547
010300015;476
010300016;584
010300017;504
010300018;597
010300019;526
010300020;541
010300021;388
010300022;534
010300023;626
010300024;523
010300025;590
010300026;722
010300027;642
010300028;618
010300029;622
010300030;699
010300031;677
010300032;311
010300033;881
010300034;633
010300035;569
010300036;722
010300037;636
010300038;476
010300039;591
010300040;717
010300041;537
010300042;616
010300043;725
010300044;462
010300045;407
010300046;615
010300047;648
010300048;631
010300049;606
010300050;429
010300051;630
010300052;412
010300053;569
010300054;587
010300055;525
010300056;582
010300057;615
010300058;608
010300059;618
010300060;560
010300061;522
010300062;440
010300063;469
010300064;589
010300065;477
010300066;544
010300067;565
010300068;532
010300069;573
010300070;604
010300071;588
010300072;520
010300073;561
010300074;532
010300075;574
010300076;413
010300077;614
010300078;543
010300079;523
010300080;483
010300081;441
010300082;603
010300083;590
010300084;601
010300085;507
010300086;540
010300087;500
010300088;579
010300089;567
010300090;529
010300091;451
010300092;607
010300093;649
010300094;514
010300095;754
010300096;930
010300097;400
010300098;624
010300099;575
010300100;657
010300101;521
010300102;541
010300103;354
010300104;703
010300105;496
010300106;374
010300107;426
010300108;586
010300109;483
010300110;444
010300111;572
010300112;632
010300113;564
010300114;502
010300115;601
010300116;563
010300117;513
010300118;80
010300119;663
010300120;608
010300121;2828
010300122;28
010300123;444
010300124;554
010300125;710
010300126;48
010300127;1373
010300128;918
010300129;11923
010300130;1051
010300131;617
010300132;203
010300133;757
010300134;380
010300135;305
010300136;153
010300137;6085
010300138;63
010300139;474
011100001;942
011100002;846
011100003;928
011100004;712
011100005;651
011100006;740
011100007;542
011100008;829
011100009;721
011100010;578
011100011;622
011100012;779
011100013;704
011100014;844
011100015;838
011100016;812
011100017;971
011100018;1000
011100019;1136
011100020;696
011100021;847
011100022;842
011100024;655
011100025;606
011100026;474
011100027;470
011100028;441
011100029;470
011100030;393
011100031;869
011100032;728
011100033;697
011100034;841
011100035;811
011100036;545
011100037;626
011100038;735
011100039;834
011100040;746
011100041;20
011100042;27
011300001;824
011300002;711
011300003;153
011300004;860
011300005;772
011300006;656
011300007;630
011300008;1036
011300009;978
011300010;858
011300011;48
011300012;206
011300013;136
011300014;650
011300015;739
011300016;157
011300017;443
011300018;915
011300019;734
011300020;715
011300021;226
011300022;1073
012800001;561
012800002;593
012800003;526
012800004;577
012800005;592
012800006;379
012800007;488
012800008;470
012800009;50
012800010;68
013300001;868
013300002;848
013300003;923
013300004;918
013300005;967
013300006;871
013300007;892
013300008;923
013300009;928
013300010;979
013300011;977
013300012;1005
013300013;864
013300014;877
013300015;926
013300016;915
013300017;899
013300018;972
013300019;947
013300020;1054
013300021;971
013300022;987
013300023;793
013300024;810
013300025;923
013300026;973
013300027;993
013300028;938
013300029;790
013300030;908
013300031;784
013300032;919
013300033;932
013300034;891
013300035;919
013300036;804
013300037;438
013300038;577
013300039;329
013300040;231
013300041;502
013300042;546
013300043;100
013300044;143
013300045;108
013300046;553
013300047;632
013300048;87
013300049;259
013300050;175
013300051;806
013300052;590
013300053;425
013300054;390
013300055;447
013300056;867
013300057;110
013300058;616
013300059;583
013300060;574
013300061;578
013300062;577
013300063;725
013300064;555
013300065;328
013300066;104
013300067;79
013300068;61
013300069;141
013300070;181
013300071;117
013300072;328
013300073;76
013300074;73
013300075;37
013300076;170
013300077;509
013300078;474
013300079;592
013300080;565
013300081;543
013300082;744
013300083;241
013300084;854
013300085;834
013300086;752
013300087;467
013300088;793
013700001;644
013700002;601
013700003;705
013700004;683
013700005;622
013700006;657
013700007;542
013700008;704
013700009;676
013700010;747
013700011;548
013700012;659
013700013;532
013700014;597
013700015;777
013700016;709
013700017;658
013700018;657
013700019;407
013700020;806
013700021;747
013700022;792
013700023;508
013700024;741
013700025;480
013700026;575
013700027;504
014000001;776
014000002;733
014000003;805
014000004;872
014000005;784
014000006;849
014000007;844
014000008;687
014000009;435
014000010;488
014000011;788
014000012;730
014000013;834
014000014;826
014000015;688
014000016;794
014000017;753
014000018;896
014000019;821
014000020;785
014000021;708
014000022;507
014000023;728
014000024;589
014000025;889
014000026;848
014000027;911
014000028;938
014000029;949
014000030;988
014000031;941
014000032;495
014000033;319
014000034;482
014000035;313
014000036;241
014000037;44
014000038;589
014000039;454
014000040;572
014000041;627
014000042;453
014000043;564
014000044;507
014000045;393
014000046;638
014000047;469
014000048;148
014000049;26
014000050;74
014000051;59
014000052;48
014000053;69
014000054;42
014000055;149
014000056;533
014000057;167
014000058;67
014000059;556
014000060;469
014000061;95
014000062;372
014000063;138
014000064;60
014000065;123
014000066;30
014000067;76
014000068;37
014200001;386
014200002;529
014200003;515
014200004;723
014200005;767
014200006;738
014200007;742
014200008;306
014200009;296
014200010;911
014200011;849
014200012;1028
014200013;325
014200014;496
014200015;838
014200016;746
014200017;994
014200018;943
014200019;908
014200020;947
014200021;720
014200022;392
014400001;652
014400002;722
014400003;561
014400004;892
014400005;759
014400006;617
014400007;640
014400008;601
014400009;567
014400010;305
014400011;336
014400012;838
014400013;416
014400014;125
014400015;249
014400016;29
014400017;677
014400018;665
014400019;509
014400020;24
014400021;607
014400022;541
014400023;75
014400024;26
014400025;493
014400026;386
014900001;343
014900002;358
014900003;368
014900004;321
014900005;555
014900006;544
014900007;297
014900008;321
014900009;29
014900010;136
014900011;137
014900012;60
014900013;236
014900014;53
014900015;103
014900016;114
014900017;100
015200001;729
015200002;714
015200003;808
015200004;674
015200005;139
015200006;388
015200007;609
015200008;318
015200009;38
015200010;46
015200011;627
015200012;449
015200013;876
015200014;735
015200015;705
015200016;60
015200017;23
015200018;109
015200019;327
015300001;702
015300002;470
015300003;604
015300004;811
015300005;635
015300006;674
015300007;677
015300008;561
015300009;445
015300010;428
015300011;795
015300012;366
015300013;346
015300014;964
020100001;792
020100002;614
020100003;884
020100004;375
020100005;445
020100006;635
020100007;405
020100008;497
020100009;797
020100010;495
020100011;412
020100012;592
020100013;632
020100014;481
020100015;388
020100016;702
020100017;648
020100018;709
020100019;502
020100020;801
020100021;801
020100022;582
020100023;602
020100024;733
020100025;710
020100026;669
020100027;576
020100028;710
020100029;858
020100030;806
020100031;130
020100032;245
020100033;513
020100034;739
020100035;328
020100036;623
020100037;175
020100038;774
020100039;404
020100040;518
020100041;742
020100042;394
020100043;551
020100044;524
020100045;118
020100046;389
020100047;11
020100048;645
020100049;584
020100050;431
020400001;586
