party_name;E20210404_machine_votes;E20210404_paper_votes;E20210404_total_votes;E20210711_machine_votes;E20210711_paper_votes;E20210711_total_votes;E20211114_machine_votes;E20211114_paper_votes;E20211114_total_votes;E20221002_machine_votes;E20221002_paper_votes;E20221002_total_votes;E20230402_machine_votes;E20230402_paper_votes;E20230402_total_votes;E20240609_machine_votes;E20240609_paper_votes;E20240609_total_votes;E20241027_machine_votes;E20241027_paper_votes;E20241027_total_votes
КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ;;;;;;;;;;4730;367;5097;;;;;;;;;
КОАЛИЦИЯ НА РОЗАТА;;;;;;;;;;;;;;;;1011;1195;2206;;;
КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ АТАКА РУСОФИЛИ КОМУНИСТИ;;;;;;;;;;;;;5200;5308;10508;;;;;;
КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ РУСОФИЛИ И КОМУНИСТИ;;;;;;;;;;;;;;;;599;1863;2462;;;
КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА ДЕМОКРАТИЧНА БЪЛГАРИЯ;;;;;;;;;;;;;476506;144736;621242;208613;99236;307849;239571;106492;346063
КОАЛИЦИЯ СПРАВЕДЛИВА БЪЛГАРИЯ;;;;;;;;;;8423;701;9124;;;;;;;;;
КОД КОНСЕРВАТИВНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА;;;;;;;;;;4806;222;5028;5426;2314;7740;;;;;;
КОЙ;;;;;;;;;;;;;;;;;;;666;1356;2022
КОНСЕРВАТИВНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА КОД;3262;6155;9417;;;;;;;;;;;;;;;;;;
КП ГРАЖДАНСКИ БЛОК ГБ;;;;;;;;;;;;;;;;893;2110;3003;;;
КП РУСОФИЛИ ЗА БЪЛГАРИЯ;;;;;;;;;;;;;;;;;;;3423;5437;8860
КП СВОБОДНИ ИЗБИРАТЕЛИ РБ ССД И ЗС;;;;;;;;;;;;;;;;;;;2293;4000;6293
ЛЕВИЦАТА;;;;;;;;;;;;;38627;17872;56499;5473;9702;15175;;;
ЛЯВ СЪЮЗ ЗА ЧИСТА И СВЯТА РЕПУБЛИКА;;;;9308;1001;10309;;;;;;;;;;;;;;;
МЕЧ;;;;;;;;;;;;;;;;28310;35682;63992;52124;59841;111965
МИР;1308;2348;3656;3162;265;3427;;;;4184;352;4536;2709;1185;3894;;;;;;
МОЯ СТРАНА БЪЛГАРИЯ;;;;;;;;;;;;;;;;;;;1017;1764;2781
НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА;;;;;;;;;;2159;363;2522;5048;2729;7777;1001;1482;2483;747;1716;2463
НАЦИОНАЛНО ДВИЖЕНИЕ ЕДИНСТВО;;;;;;;;;;3692;347;4039;;;;;;;;;
НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА;;;;;;;10296;943;11239;;;;;;;;;;;;
НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА КОД БЗНС БДФ СЕК;;;;7349;523;7872;;;;;;;;;;;;;;;
НАЦИЯ;175;722;897;;;;;;;;;;;;;;;;;;
НДСВ;;;;;;;;;;;;;4553;2211;6764;;;;;;
НЕ ПОДКРЕПЯМ НИКОГО;14082;33678;47760;32253;2948;35201;31717;4028;35745;81686;5949;87635;79537;29663;109200;31474;32439;63913;45070;37549;82619
НИЕ ГРАЖДАНИТЕ БЪЛГАРСКАТА ПРОЛЕТ КОЙ БРСП НАЦИЯ;;;;;;;;;;;;;;;;1519;3143;4662;;;
НИЕ ГРАЖДАНИТЕ КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ БЪЛГАРСКА ДЕМОКРАТИЧНА ОБЩНОСТ;1533;3260;4793;;;;;;;;;;;;;;;;;;
НИЕ ИДВАМЕ;;;;;;;;;;;;;;;;3024;2915;5939;;;
НФСБ;;;;;;;;;;3225;295;3520;;;;;;;;;
ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ;946;2494;3440;;;;10810;817;11627;;;;;;;487;1762;2249;;;
ПАРТИЯ МИР;;;;;;;3437;502;3939;;;;;;;;;;;;
ПАРТИЯ НА ЗЕЛЕНИТЕ;1700;3859;5559;2911;346;3257;2528;440;2968;;;;;;;2049;3445;5494;2978;1919;4897
ПАТРИОТИЧЕН ФРОНТ НФСБ БДС РАДИКАЛИ И БНДС ЦЕЛОКУПНА БЪЛГАРИЯ;;;;;;;7991;593;8584;;;;;;;;;;;;
ПАТРИОТИЧНА КОАЛИЦИЯ ВОЛЯ И НФСБ;14666;61260;75926;;;;;;;;;;;;;;;;;;
ПОДЕМ;;;;815;47;862;;;;;;;;;;;;;;;
ПРАВОТО;396;1767;2163;;;;6277;435;6712;1544;213;1757;;;;;;;871;1489;2360
ПРОДЪЛЖАВАМЕ ПРОМЯНАТА;;;;;;;615794;57376;673170;464667;41432;506099;;;;;;;;;
ПРЯКА ДЕМОКРАЦИЯ;917;2492;3409;2854;289;3143;1132;209;1341;3758;303;4061;;;;1923;3284;5207;3430;4522;7952
РЕПУБЛИКАНЦИ ЗА БЪЛГАРИЯ;7498;34564;42062;7496;1050;8546;;;;;;;;;;;;;;;
РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО;;;;;;;6162;641;6803;5889;644;6533;;;;;;;;;
СВОБОДА;;;;3878;426;4304;;;;;;;;;;;;;;;
СИНЯ БЪЛГАРИЯ;;;;;;;;;;;;;;;;18207;15406;33613;15188;10866;26054
СОЛИДАРНА БЪЛГАРИЯ;;;;;;;;;;;;;;;;14630;16846;31476;;;
СОЦИАЛИСТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ПЪТ;;;;;;;;;;;;;347;383;730;;;;688;882;1570
ЦЕНТЪР;;;;;;;;;;;;;;;;12754;12910;25664;;;
