section_id;registered_voters
010100001;623
010100002;561
010100003;522
010100004;598
010100005;483
010100006;479
010100007;576
010100008;507
010100009;584
010100010;660
010100011;656
010100012;663
010100013;821
010100014;656
010100015;606
010100016;449
010100017;602
010100018;34
010100019;45
010100020;69
010100021;143
010100022;198
010100023;513
010200001;588
010200002;814
010200003;711
010200004;593
010200005;625
010200006;732
010200007;703
010200008;648
010200009;954
010200011;168
010200012;604
010200013;30
010200014;190
010200015;159
010200016;210
010200017;129
010200018;68
010300001;568
010300002;357
010300003;474
010300004;544
010300005;612
010300006;609
010300007;631
010300008;675
010300009;693
010300010;693
010300011;598
010300012;580
010300013;559
010300014;542
010300015;581
010300016;581
010300017;517
010300018;607
010300019;537
010300020;549
010300021;380
010300022;527
010300023;579
010300024;515
010300025;593
010300026;717
010300027;657
010300028;614
010300029;601
010300030;669
010300031;649
010300032;322
010300033;759
010300034;624
010300035;581
010300036;668
010300037;658
010300038;466
010300039;541
010300040;701
010300041;648
010300042;617
010300043;706
010300044;451
010300045;438
010300046;603
010300047;647
010300048;641
010300049;609
010300050;444
010300051;621
010300052;418
010300053;562
010300054;593
010300055;534
010300056;579
010300057;631
010300058;606
010300059;622
010300060;573
010300061;499
010300062;455
010300063;473
010300064;605
010300065;467
010300066;507
010300067;573
010300068;550
010300069;602
010300070;631
010300071;604
010300072;535
010300073;568
010300074;552
010300075;561
010300076;413
010300077;621
010300078;538
010300079;546
010300080;507
010300081;450
010300082;594
010300083;599
010300084;606
010300085;510
010300086;539
010300087;532
010300088;605
010300089;556
010300090;549
010300091;477
010300092;601
010300093;628
010300094;523
010300095;713
010300096;882
010300097;394
010300098;607
010300099;555
010300100;658
010300101;530
010300102;550
010300103;372
010300104;700
010300105;494
010300106;389
010300107;381
010300108;551
010300109;515
010300110;439
010300111;589
010300112;654
010300113;551
010300114;526
010300115;556
010300116;553
010300117;538
010300118;60
010300119;646
010300120;600
010300121;2818
010300122;38
010300123;458
010300124;591
010300125;713
010300126;52
010300127;745
010300128;731
010300129;8239
010300130;1598
010300131;601
010300132;205
010300133;619
010300134;150
010300135;309
010300136;71
010300137;5266
010300138;75
010300139;458
011100001;940
011100002;870
011100003;925
011100004;715
011100005;679
011100006;756
011100007;552
011100008;842
011100009;700
011100010;590
011100011;622
011100012;769
011100013;700
011100014;856
011100015;856
011100016;798
011100017;946
011100018;998
011100019;1087
011100020;696
011100021;850
011100022;850
011100024;653
011100025;618
011100026;473
011100027;442
011100028;435
011100029;486
011100030;390
011100031;846
011100032;739
011100033;676
011100034;810
011100035;812
011100036;522
011100037;578
011100038;686
011100039;820
011100040;723
011100041;24
011100042;34
011300001;796
011300002;712
011300003;152
011300004;853
011300005;761
011300006;638
011300007;610
011300008;1007
011300010;970
011300011;852
011300012;48
011300013;207
011300014;120
011300015;656
011300016;727
011300017;182
011300018;454
011300019;911
011300020;734
011300021;691
011300022;228
011300023;1073
012800001;583
012800002;598
012800003;541
012800004;601
012800005;605
012800006;398
012800007;513
012800008;485
012800009;63
012800010;69
013300001;882
013300002;855
013300003;935
013300004;904
013300005;958
013300006;896
013300007;896
013300008;918
013300009;919
013300010;981
013300011;996
013300012;1012
013300013;883
013300014;887
013300015;932
013300016;905
013300017;881
013300018;973
013300019;958
013300020;1050
013300021;986
013300022;986
013300023;804
013300024;816
013300025;931
013300026;966
013300027;969
013300028;946
013300029;819
013300030;887
013300031;748
013300032;840
013300033;928
013300034;889
013300035;938
013300036;791
013300037;437
013300038;600
013300039;354
013300040;220
013300041;504
013300042;550
013300043;107
013300044;133
013300045;120
013300046;567
013300047;661
013300048;70
013300049;268
013300050;177
013300051;832
013300052;620
013300053;434
013300054;408
013300055;464
013300056;451
013300057;448
013300058;114
013300059;618
013300060;611
013300061;587
013300062;576
013300063;584
013300064;706
013300065;554
013300066;337
013300067;123
013300068;86
013300069;39
013300070;143
013300071;205
013300072;129
013300073;323
013300074;87
013300075;83
013300076;43
013300077;99
013300078;90
013300079;502
013300080;484
013300081;601
013300082;562
013300083;562
013300084;752
013300085;254
013300086;847
013300087;842
013300088;745
013300089;487
013300090;811
013700001;668
013700002;599
013700003;703
013700004;723
013700005;638
013700006;670
013700007;567
013700008;727
013700009;703
013700010;755
013700011;543
013700012;669
013700013;513
013700014;603
013700015;757
013700016;680
013700017;652
013700018;664
013700019;417
013700020;788
013700021;751
013700022;780
013700023;523
013700024;772
013700025;492
013700026;607
013700027;518
014000001;769
014000002;768
014000003;828
014000004;878
014000005;794
014000006;869
014000007;826
014000008;710
014000009;455
014000010;491
014000011;791
014000012;731
014000013;867
014000014;825
014000015;695
014000016;816
014000017;772
014000018;894
