code;name;registration_code;registration_name
190;РУСОФИЛИ И КОМУНИСТИ;2;РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО
170;НФСБ;4;ПАТРИОТИЧЕН ФРОНТ НФСБ БДС РАДИКАЛИ И БНДС ЦЕЛОКУПНА БЪЛГАРИЯ
120;ВЪЗРАЖДАНЕ;5;ВЪЗРАЖДАНЕ
235;КОД;7;НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА
260;БСДД;8;БСДД БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ
240;ЕВРОЛЕВИЦА;10;БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ ЕВРОЛЕВИЦА
210;АТАКА;11;АТАКА
265;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ;13;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ
220;ГЛАС НАРОДЕН;14;ГЛАС НАРОДЕН
105;ДПС;17;ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ ДПС
275;ПРАВОТО;20;ПРАВОТО
155;ВМРО;21;ВМРО БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ
175;БНО;22;БНО
350;ВОЛЯ;23;ВОЛЯ
115;ИМА ТАКЪВ НАРОД;24;ИМА ТАКЪВ НАРОД
160;ПРОДЪЛЖАВАМЕ ПРОМЯНАТА;25;ПРОДЪЛЖАВАМЕ ПРОМЯНАТА
270;МИР;26;ПАРТИЯ МИР
320;БЛАГОДЕНСТВИЕ ОБЕДИНЕНИЕ ГРАДИВНОСТ;27;БЛАГОДЕНСТВИЕ ОБЕДИНЕНИЕ ГРАДИВНОСТ
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;28;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
225;ПРЯКА ДЕМОКРАЦИЯ;29;ПРЯКА ДЕМОКРАЦИЯ
135;ДБ;30;ДЕМОКРАТИЧНА БЪЛГАРИЯ ОБЕДИНЕНИЕ ДА БЪЛГАРИЯ ДСБ ЗЕЛЕНО ДВИЖЕНИЕ
145;ИЗПРАВИ СЕ БГ;31;ИЗПРАВИ СЕ БГ НИЕ ИДВАМЕ
100;ГЕРБ СДС;32;ГЕРБ СДС
110;БСП;33;БСП ЗА БЪЛГАРИЯ
190;РУСОФИЛИ И КОМУНИСТИ;34;БЪЛГАРСКА ПРОГРЕСИВНА ЛИНИЯ
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;35;ПАРТИЯ НА ЗЕЛЕНИТЕ
340;БРИГАДА;36;БРИГАДА
999;НЕ ПОДКРЕПЯМ НИКОГО;99;НЕ ПОДКРЕПЯМ НИКОГО
