section_id;failed_machines_count
010100017;1
010300050;1
013700024;1
014000007;1
014000032;1
015300008;1
020400120;1
020400237;1
020400272;1
020400313;1
022100020;1
030601032;1
030605374;1
030900017;1
040400040;1
040600036;1
040600074;1
041300003;1
050900108;1
060500004;1
060800003;1
060800010;1
061000078;1
062700014;1
090800003;1
091400011;1
091400012;1
091500012;1
091600022;1
091600046;1
102900021;1
102900048;1
111800033;1
122900045;1
132100009;1
133200005;1
143200083;1
152400037;1
152400123;1
153900009;1
162201005;1
162204062;1
162206020;1
162206047;1
162206063;2
170100102;1
172300035;1
192700141;1
192700182;1
203100165;1
203400705;1
234609060;1
244601039;1
244606018;1
244607056;1
260700031;1
262000019;1
264500003;1
272400002;1
273100043;1
273100058;1
273100118;1
273100141;1
273800002;1
282200003;2
291100020;1
293300003;1
300700002;1
301100010;1
301900011;1
312600002;1
321300126;1
324300375;1
324300416;2
325800615;1
