section_id;registered_voters
010100001;621
010100002;552
010100003;509
010100004;591
010100005;484
010100006;481
010100007;569
010100008;498
010100009;599
010100010;678
010100011;666
010100012;648
010100013;830
010100014;663
010100015;605
010100016;439
010100017;597
010100018;28
010100019;39
010100020;70
010100021;128
010100022;190
010100023;516
010200001;588
010200002;815
010200003;706
010200004;564
010200005;631
010200006;739
010200007;715
010200008;651
010200009;956
010200011;168
010200012;598
010200013;30
010200014;190
010200015;167
010200016;203
010200017;126
010200018;70
010300001;573
010300002;353
010300003;475
010300004;538
010300005;619
010300006;611
010300007;627
010300008;681
010300009;689
010300010;706
010300011;591
010300012;576
010300013;576
010300014;542
010300015;577
010300016;591
010300017;519
010300018;612
010300019;538
010300020;551
010300021;378
010300022;523
010300023;600
010300024;517
010300025;586
010300026;719
010300027;659
010300028;611
010300029;607
010300030;700
010300031;656
010300032;313
010300033;802
010300034;629
010300035;571
010300036;694
010300037;639
010300038;470
010300039;566
010300040;727
010300041;655
010300042;620
010300043;708
010300044;450
010300045;422
010300046;614
010300047;640
010300048;627
010300049;608
010300050;436
010300051;625
010300052;413
010300053;562
010300054;588
010300055;521
010300056;579
010300057;621
010300058;608
010300059;611
010300060;568
010300061;514
010300062;458
010300063;467
010300064;606
010300065;463
010300066;536
010300067;580
010300068;539
010300069;581
010300070;620
010300071;590
010300072;532
010300073;562
010300074;542
010300075;581
010300076;410
010300077;614
010300078;544
010300079;534
010300080;489
010300081;446
010300082;590
010300083;591
010300084;607
010300085;510
010300086;533
010300087;509
010300088;596
010300089;569
010300090;541
010300091;460
010300092;606
010300093;638
010300094;517
010300095;731
010300096;919
010300097;398
010300098;625
010300099;557
010300100;656
010300101;519
010300102;558
010300103;366
010300104;710
010300105;492
010300106;388
010300107;401
010300108;571
010300109;498
010300110;430
010300111;580
010300112;653
010300113;573
010300114;508
010300115;578
010300116;551
010300117;502
010300118;61
010300119;642
010300120;607
010300121;2815
010300122;30
010300123;454
010300124;548
010300125;705
010300126;50
010300127;1149
010300128;866
010300129;10499
010300130;1096
010300131;580
010300132;197
010300133;780
010300134;212
010300135;282
010300136;121
010300137;5205
010300138;73
010300139;472
011100001;935
011100002;862
011100003;916
011100004;710
011100005;660
011100006;749
011100007;531
011100008;823
011100009;695
011100010;588
011100011;625
011100012;770
011100013;711
011100014;860
011100015;851
011100016;795
011100017;950
011100018;1001
011100019;1110
011100020;702
011100021;844
011100022;840
011100024;646
011100025;614
011100026;475
011100027;476
011100028;433
011100029;471
011100030;390
011100031;853
011100032;727
011100033;691
011100034;818
011100035;807
011100036;538
011100037;602
011100038;710
011100039;814
011100040;724
011100041;23
011100042;30
011300001;811
011300002;714
011300003;153
011300004;859
011300005;762
011300006;654
011300007;616
011300008;1019
011300010;938
011300011;837
011300012;47
011300013;209
011300014;118
011300015;657
011300016;742
011300017;183
011300018;449
011300019;901
011300020;737
011300021;707
011300022;231
011300023;1046
012800001;572
012800002;592
012800003;536
