section_id;failed_machines_count
010300105;1
011300023;1
020100044;1
020400019;1
020400327;1
030200009;1
030601011;1
030603273;1
030604304;1
042000009;1
050900002;1
050900073;1
050900080;1
050900092;1
063200004;1
081500060;1
081500066;1
081700004;1
082700004;1
091600038;1
102900050;1
102900058;1
113400020;1
121100001;1
121100009;1
130300004;1
130600008;1
130600009;1
131900067;1
131900192;1
132900003;1
132900004;1
132900006;1
132900007;1
132900028;1
143200001;1
143200005;1
143200008;1
143200041;1
143600018;1
151600022;1
152700002;1
153700004;1
153700009;1
153700018;1
162201005;1
162201073;1
162201076;1
162201077;1
162202065;1
162205033;1
170100055;1
174300005;1
190300008;1
190300009;1
190300010;1
190400018;1
191300013;1
191300014;1
191300017;1
192700007;1
192700017;1
193300005;1
193700001;1
203100116;1
212000167;1
221000003;1
223800002;1
234609071;1
244603013;1
244606009;1
244606031;1
244606034;1
244606037;1
244606040;1
244606042;1
244606078;1
244614016;1
244614066;1
254611051;1
254611070;1
254619009;1
254620018;1
254620045;1
254621001;1
254621004;1
262000003;1
262000005;1
262000024;1
262000026;1
262600002;1
263900034;1
263900035;1
271200002;1
271200085;1
272400001;1
273100020;1
273100070;1
273100104;1
273100136;1
273600007;1
283500036;1
283500063;1
290900015;1
291100001;1
291100002;1
291100004;1
291100005;1
291100020;1
291100021;1
291100022;1
293000009;1
293000022;1
301100006;1
301100008;1
301100013;1
301100015;1
321070477;1
321180619;1
