code;name;registration_code;registration_name
110;БСП;1;БСП ЗА БЪЛГАРИЯ
100;ГЕРБ СДС;2;ГЕРБ СДС
120;ВЪЗРАЖДАНЕ;3;ВЪЗРАЖДАНЕ
115;ИМА ТАКЪВ НАРОД;4;ИМА ТАКЪВ НАРОД
250;ИСТИНАТА И САМО ИСТИНАТА;5;НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА
190;РУСОФИЛИ И КОМУНИСТИ;6;КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ АТАКА РУСОФИЛИ КОМУНИСТИ
175;БНО;7;БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;8;ЗАЕДНО
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;9;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
300;НДСВ;10;НДСВ
235;КОД;11;КОД КОНСЕРВАТИВНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА
125;ППДБ;12;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА ДЕМОКРАТИЧНА БЪЛГАРИЯ
105;ДПС;13;ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ ДПС
195;ЛЕВИЦАТА;14;ЛЕВИЦАТА
180;БЪЛГАРСКИ ВЪЗХОД;15;БЪЛГАРСКИ ВЪЗХОД
270;МИР;16;МИР
240;ЕВРОЛЕВИЦА;17;БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ ЕВРОЛЕВИЦА
260;БСДД;18;БСДД БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ
220;ГЛАС НАРОДЕН;19;ГЛАС НАРОДЕН
190;РУСОФИЛИ И КОМУНИСТИ;20;СОЦИАЛИСТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ПЪТ
290;ВЪН ОТ ЕС И НАТО;21;ВЪН ОТ ЕС И НАТО
999;НЕ ПОДКРЕПЯМ НИКОГО;99;НЕ ПОДКРЕПЯМ НИКОГО
