code;name;registration_code;registration_sub_code;registration_name
100;ГЕРБ СДС;2;0;ГЕРБ СДС
105;ДПС;13;0;ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ ДПС
110;БСП;1;0;БСП ЗА БЪЛГАРИЯ
115;ИМА ТАКЪВ НАРОД;4;0;ИМА ТАКЪВ НАРОД
120;ВЪЗРАЖДАНЕ;3;0;ВЪЗРАЖДАНЕ
125;ППДБ;12;0;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА ДЕМОКРАТИЧНА БЪЛГАРИЯ
175;БНО;7;0;БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ
180;БЪЛГАРСКИ ВЪЗХОД;15;0;БЪЛГАРСКИ ВЪЗХОД
190;РУСОФИЛИ И КОМУНИСТИ;6;0;КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ АТАКА РУСОФИЛИ КОМУНИСТИ
190;РУСОФИЛИ И КОМУНИСТИ;20;0;СОЦИАЛИСТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ПЪТ
195;ЛЕВИЦАТА;14;0;ЛЕВИЦАТА
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;8;0;ЗАЕДНО
220;ГЛАС НАРОДЕН;19;0;ГЛАС НАРОДЕН
235;КОД;11;0;КОД КОНСЕРВАТИВНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА
240;ЕВРОЛЕВИЦА;17;0;БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ ЕВРОЛЕВИЦА
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;9;0;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
250;ИСТИНАТА И САМО ИСТИНАТА;5;0;НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА
260;БСДД;18;0;БСДД БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ
270;МИР;16;0;МИР
290;ВЪН ОТ ЕС И НАТО;21;0;ВЪН ОТ ЕС И НАТО
300;НДСВ;10;0;НДСВ
705;ВЕСЕЛИН НАЙДЕНОВ МАРЕШКИ;22;3;ВЕСЕЛИН НАЙДЕНОВ МАРЕШКИ
720;МИЛЕН ГАНЕВ МИЛЕВ;22;11;МИЛЕН ГАНЕВ МИЛЕВ
999;НЕ ПОДКРЕПЯМ НИКОГО;99;0;НЕ ПОДКРЕПЯМ НИКОГО
