section_id;party;votes
010100001;1;27
010100001;2;52
010100001;3;37
010100001;4;18
010100001;5;2
010100001;6;1
010100001;7;1
010100001;8;0
010100001;9;0
010100001;10;0
010100001;11;0
010100001;12;59
010100001;13;2
010100001;14;6
010100001;15;7
010100001;16;0
010100001;17;0
010100001;18;0
010100001;19;0
010100001;20;0
010100001;21;0
010100001;99;14
010100002;1;28
010100002;2;40
010100002;3;22
010100002;4;14
010100002;5;1
010100002;6;2
010100002;7;0
010100002;8;1
010100002;9;0
010100002;10;0
010100002;11;0
010100002;12;65
010100002;13;1
010100002;14;2
010100002;15;7
010100002;16;0
010100002;17;0
010100002;18;0
010100002;19;0
010100002;20;0
010100002;21;0
010100002;99;12
010100003;1;15
010100003;2;59
010100003;3;26
010100003;4;11
010100003;5;0
010100003;6;0
010100003;7;1
010100003;8;0
010100003;9;0
010100003;10;0
010100003;11;0
010100003;12;39
010100003;13;0
010100003;14;6
010100003;15;3
010100003;16;0
010100003;17;0
010100003;18;0
010100003;19;0
010100003;20;0
010100003;21;0
010100003;99;10
010100004;1;36
010100004;2;48
010100004;3;20
010100004;4;8
010100004;5;2
010100004;6;0
010100004;7;0
010100004;8;0
010100004;9;0
010100004;10;0
010100004;11;0
010100004;12;68
010100004;13;1
010100004;14;6
010100004;15;1
010100004;16;0
010100004;17;0
010100004;18;0
010100004;19;0
010100004;20;0
010100004;21;0
010100004;99;18
010100005;1;44
010100005;2;59
010100005;3;34
010100005;4;4
010100005;5;2
010100005;6;0
010100005;7;0
010100005;8;1
010100005;9;1
010100005;10;0
010100005;11;1
010100005;12;41
010100005;13;2
010100005;14;7
010100005;15;0
010100005;16;0
010100005;17;0
010100005;18;0
010100005;19;0
010100005;20;0
010100005;21;0
010100005;99;15
010100006;1;26
010100006;2;38
010100006;3;28
010100006;4;7
010100006;5;0
010100006;6;1
010100006;7;0
010100006;8;0
010100006;9;0
010100006;10;0
010100006;11;0
010100006;12;47
010100006;13;0
010100006;14;4
010100006;15;5
010100006;16;1
010100006;17;0
010100006;18;2
010100006;19;0
010100006;20;0
010100006;21;0
010100006;99;7
010100007;1;31
010100007;2;46
010100007;3;25
010100007;4;11
010100007;5;0
010100007;6;0
010100007;7;0
010100007;8;0
010100007;9;0
010100007;10;0
010100007;11;1
010100007;12;37
010100007;13;0
010100007;14;2
010100007;15;8
010100007;16;0
010100007;17;0
010100007;18;0
010100007;19;0
010100007;20;0
010100007;21;0
010100007;99;20
010100008;1;21
010100008;2;46
010100008;3;24
010100008;4;16
010100008;5;1
010100008;6;2
010100008;7;0
010100008;8;0
010100008;9;0
010100008;10;0
010100008;11;0
010100008;12;38
010100008;13;1
010100008;14;3
010100008;15;3
010100008;16;0
010100008;17;0
010100008;18;0
010100008;19;0
010100008;20;0
010100008;21;0
010100008;99;6
010100009;1;22
010100009;2;41
010100009;3;28
010100009;4;10
010100009;5;2
010100009;6;0
010100009;7;0
010100009;8;1
010100009;9;1
010100009;10;0
010100009;11;0
010100009;12;48
010100009;13;0
010100009;14;12
010100009;15;8
010100009;16;0
010100009;17;0
010100009;18;0
010100009;19;0
010100009;20;0
010100009;21;0
010100009;99;15
010100010;1;17
010100010;2;45
010100010;3;34
010100010;4;19
010100010;5;0
010100010;6;0
010100010;7;0
010100010;8;0
010100010;9;0
010100010;10;1
010100010;11;0
010100010;12;65
010100010;13;0
010100010;14;0
010100010;15;5
010100010;16;0
010100010;17;0
010100010;18;0
010100010;19;0
010100010;20;0
010100010;21;0
010100010;99;17
010100011;1;8
010100011;2;51
010100011;3;18
010100011;4;6
010100011;5;2
010100011;6;0
010100011;7;0
010100011;8;1
010100011;9;0
010100011;10;0
010100011;11;0
010100011;12;12
010100011;13;0
010100011;14;0
010100011;15;2
010100011;16;0
010100011;17;0
010100011;18;0
010100011;19;0
010100011;20;0
010100011;21;0
010100011;99;5
010100012;1;19
010100012;2;63
010100012;3;39
010100012;4;28
010100012;5;3
010100012;6;0
010100012;7;0
010100012;8;1
010100012;9;0
010100012;10;1
010100012;11;0
010100012;12;37
010100012;13;1
010100012;14;7
010100012;15;5
010100012;16;0
010100012;17;0
010100012;18;0
010100012;19;0
010100012;20;0
010100012;21;1
010100012;99;15
010100013;1;39
010100013;2;68
010100013;3;52
010100013;4;15
010100013;5;2
010100013;6;0
010100013;7;1
010100013;8;0
010100013;9;0
010100013;10;0
010100013;11;0
010100013;12;74
010100013;13;0
010100013;14;11
010100013;15;5
010100013;16;0
010100013;17;0
010100013;18;0
010100013;19;0
010100013;20;0
010100013;21;0
010100013;99;23
010100014;1;7
010100014;2;55
010100014;3;21
010100014;4;6
010100014;5;1
010100014;6;2
010100014;7;0
010100014;8;4
010100014;9;0
010100014;10;0
010100014;11;0
010100014;12;155
010100014;13;0
010100014;14;4
010100014;15;4
010100014;16;0
010100014;17;0
010100014;18;0
010100014;19;0
010100014;20;0
010100014;21;1
010100014;99;18
010100015;1;2
010100015;2;58
010100015;3;21
010100015;4;4
010100015;5;0
010100015;6;0
010100015;7;0
010100015;8;1
010100015;9;0
010100015;10;0
010100015;11;0
010100015;12;76
010100015;13;4
010100015;14;3
010100015;15;4
010100015;16;0
010100015;17;0
010100015;18;0
010100015;19;0
010100015;20;0
010100015;21;0
010100015;99;17
010100016;1;12
010100016;2;36
010100016;3;9
010100016;4;4
010100016;5;0
010100016;6;1
010100016;7;0
010100016;8;0
010100016;9;0
010100016;10;0
010100016;11;0
010100016;12;59
010100016;13;3
010100016;14;1
010100016;15;1
010100016;16;1
010100016;17;0
010100016;18;0
010100016;19;0
010100016;20;0
010100016;21;0
010100016;99;8
010100017;1;5
010100017;2;66
010100017;3;23
010100017;4;3
010100017;5;2
010100017;6;0
010100017;7;0
010100017;8;1
010100017;9;0
010100017;10;0
010100017;11;1
010100017;12;89
010100017;13;3
010100017;14;4
010100017;15;1
010100017;16;1
010100017;17;0
010100017;18;0
010100017;19;0
010100017;20;0
010100017;21;0
010100017;99;3
010100023;1;4
010100023;2;28
010100023;3;1
010100023;4;16
010100023;5;1
010100023;6;0
010100023;7;0
010100023;8;0
010100023;9;1
010100023;10;0
010100023;11;0
010100023;12;6
010100023;13;38
010100023;14;9
010100023;15;0
010100023;16;0
010100023;17;0
010100023;18;0
010100023;19;0
010100023;20;0
010100023;21;0
010100023;99;5
010200001;1;26
010200001;2;20
010200001;3;10
010200001;4;1
010200001;5;0
010200001;6;1
010200001;7;0
010200001;8;0
010200001;9;0
010200001;10;1
010200001;11;0
010200001;12;17
010200001;13;35
010200001;14;2
010200001;15;3
010200001;16;0
010200001;17;1
010200001;18;0
010200001;19;0
010200001;20;0
010200001;21;1
010200001;99;5
010200002;1;6
010200002;2;11
010200002;3;7
010200002;4;0
010200002;5;0
010200002;6;0
010200002;7;0
010200002;8;0
010200002;9;0
010200002;10;0
010200002;11;0
010200002;12;16
010200002;13;20
010200002;14;2
010200002;15;1
010200002;16;0
010200002;17;0
010200002;18;0
010200002;19;0
010200002;20;0
010200002;21;0
010200002;99;1
010200003;1;25
010200003;2;30
010200003;3;16
010200003;4;2
010200003;5;1
010200003;6;0
010200003;7;0
010200003;8;0
010200003;9;0
010200003;10;0
010200003;11;0
010200003;12;15
010200003;13;74
010200003;14;1
010200003;15;11
010200003;16;0
010200003;17;0
010200003;18;0
010200003;19;0
010200003;20;0
010200003;21;0
010200003;99;5
010200004;1;12
010200004;2;12
010200004;3;6
010200004;4;2
010200004;5;0
010200004;6;0
010200004;7;0
010200004;8;0
010200004;9;0
010200004;10;0
010200004;11;0
010200004;12;8
010200004;13;70
010200004;14;1
010200004;15;13
010200004;16;0
010200004;17;0
010200004;18;0
010200004;19;0
010200004;20;0
010200004;21;0
010200004;99;3
010200005;1;0
010200005;2;13
010200005;3;1
010200005;4;2
010200005;5;0
010200005;6;0
010200005;7;0
010200005;8;0
010200005;9;0
010200005;10;0
010200005;11;0
010200005;12;3
010200005;13;105
010200005;14;1
010200005;15;2
010200005;16;0
010200005;17;0
010200005;18;0
010200005;19;0
010200005;20;0
010200005;21;0
010200005;99;5
010200006;1;2
010200006;2;7
010200006;3;3
010200006;4;0
