ekatte;postal_code;type;name;name_latin;municipality;municipality_latin;district;district_latin
18232;6366;с.;Гълъбец;Galabets;Хасково;Haskovo;Хасково;Haskovo
18259;8642;с.;Гълъбинци;Galabintsi;Тунджа;Tundzha;Ямбол;Yambol
18263;2426;с.;Гълъбник;Galabnik;Радомир;Radomir;Перник;Pernik
15638;2784;с.;Гълъбово;Galabovo;Белица;Belitsa;Благоевград;Blagoevgrad
18277;4125;с.;Гълъбово;Galabovo;Куклен;Kuklen;Пловдив;Plovdiv
850;4938;с.;Гълъбово;Galabovo;Баните;Banite;Смолян;Smolyan
18280;6280;гр.;Гълъбово;Galabovo;Гълъбово;Galabovo;Стара Загора;Stara Zagora
18294;2223;с.;Гълъбовци;Galabovtsi;Сливница;Slivnitsa;София;Sofia
18304;3785;с.;Гъмзово;Gamzovo;Брегово;Bregovo;Видин;Vidin
18318;2550;с.;Гърбино;Garbino;Кюстендил;Kyustendil;Кюстендил;Kyustendil
18321;6760;с.;Гърбище;Garbishte;Ардино;Ardino;Кърджали;Kardzhali
18335;5087;с.;Гърдевци;Gardevtsi;Елена;Elena;Велико Търново;Veliko Tarnovo
18349;2381;с.;Гърло;Garlo;Брезник;Breznik;Перник;Pernik
18352;2568;с.;Гърляно;Garlyano;Кюстендил;Kyustendil;Кюстендил;Kyustendil
18366;2960;с.;Гърмен;Garmen;Гърмен;Garmen;Благоевград;Blagoevgrad
18374;4991;с.;Гърнати;Garnati;Неделино;Nedelino;Смолян;Smolyan
18397;5370;с.;Гърня;Garnya;Дряново;Dryanovo;Габрово;Gabrovo
18407;7844;с.;Гърчиново;Garchinovo;Опака;Opaka;Търговище;Targovishte
18410;6651;с.;Гъсково;Gaskovo;Кърджали;Kardzhali;Кърджали;Kardzhali
18424;4811;с.;Гьоврен;Gyovren;Девин;Devin;Смолян;Smolyan
18455;2570;с.;Гюешево;Gyueshevo;Кюстендил;Kyustendil;Кюстендил;Kyustendil
18469;8249;с.;Гюльовца;Gyulyovtsa;Несебър;Nesebar;Бургас;Burgas
18486;3932;с.;Гюргич;Gyurgich;Ружинци;Ruzhintsi;Видин;Vidin
20027;5083;с.;Давери;Daveri;Елена;Elena;Велико Търново;Veliko Tarnovo
20033;4944;с.;Давидково;Davidkovo;Баните;Banite;Смолян;Smolyan
20047;7563;с.;Давидово;Davidovo;Кайнарджа;Kaynardzha;Силистра;Silistra
20050;7758;с.;Давидово;Davidovo;Търговище;Targovishte;Търговище;Targovishte
20064;2779;с.;Дагоново;Dagonovo;Белица;Belitsa;Благоевград;Blagoevgrad
20078;5365;с.;Даевци;Daevtsi;Трявна;Tryavna;Габрово;Gabrovo
20081;5084;с.;Дайновци;Daynovtsi;Елена;Elena;Велико Търново;Veliko Tarnovo
20105;2813;с.;Дамяница;Damyanitsa;Сандански;Sandanski;Благоевград;Blagoevgrad
20119;5437;с.;Дамяново;Damyanovo;Севлиево;Sevlievo;Габрово;Gabrovo
20153;6261;с.;Даскал-Атанасово;Daskal-Atanasovo;Раднево;Radnevo;Стара Загора;Stara Zagora
20167;6707;с.;Даскалово;Daskalovo;Черноочене;Chernoochene;Кърджали;Kardzhali
20184;7150;гр.;Две могили;Dve mogili;Две могили;Dve mogili;Русе;Ruse
20198;4949;с.;Две тополи;Dve topoli;Баните;Banite;Смолян;Smolyan
20208;2541;с.;Дворище;Dvorishte;Кюстендил;Kyustendil;Кюстендил;Kyustendil
20211;6193;с.;Дворище;Dvorishte;Мъглиж;Maglizh;Стара Загора;Stara Zagora
20225;5307;с.;Дебел дял;Debel dyal;Габрово;Gabrovo;Габрово;Gabrovo
20599;9261;с.;Дебелец;Debelets;Дългопол;Dalgopol;Варна;Varna
20242;5030;гр.;Дебелец;Debelets;Велико Търново;Veliko Tarnovo;Велико Търново;Veliko Tarnovo
20256;2416;с.;Дебели лаг;Debeli lag;Радомир;Radomir;Перник;Pernik
20268;5084;с.;Дебели рът;Debeli rat;Елена;Elena;Велико Търново;Veliko Tarnovo
20273;8314;с.;Дебелт;Debelt;Средец;Sredets;Бургас;Burgas
20287;5435;с.;Дебелцово;Debeltsovo;Севлиево;Sevlievo;Габрово;Gabrovo
20290;4946;с.;Дебеляново;Debelyanovo;Баните;Banite;Смолян;Smolyan
20300;5657;с.;Дебнево;Debnevo;Троян;Troyan;Ловеч;Lovech
20314;5958;с.;Дебово;Debovo;Никопол;Nikopol;Плевен;Pleven
20328;2748;с.;Дебочица;Debochitsa;Благоевград;Blagoevgrad;Благоевград;Blagoevgrad
