ekatte;postal_code;type;name;name_latin;municipality;municipality_latin;district;district_latin
14;2932;с.;Абланица;Ablanitsa;Хаджидимово;Hadzhidimovo;Благоевград;Blagoevgrad
28;5574;с.;Абланица;Ablanitsa;Ловеч;Lovech;Ловеч;Lovech
881;4645;с.;Абланица;Ablanitsa;Велинград;Velingrad;Пазарджик;Pazardzhik
31;9407;с.;Абрит;Abrit;Крушари;Krushari;Добрич;Dobrich
59;2795;с.;Аврамово;Avramovo;Якоруда;Yakoruda;Благоевград;Blagoevgrad
62;6797;с.;Аврамово;Avramovo;Ардино;Ardino;Кърджали;Kardzhali
84;9135;с.;Аврен;Avren;Аврен;Avren;Варна;Varna
93;6930;с.;Аврен;Avren;Крумовград;Krumovgrad;Кърджали;Kardzhali
103;5431;с.;Агатово;Agatovo;Севлиево;Sevlievo;Габрово;Gabrovo
117;5350;с.;Азманите;Azmanite;Трявна;Tryavna;Габрово;Gabrovo
895;7538;с.;Айдемир;Aydemir;Силистра;Silistra;Силистра;Silistra
148;6639;с.;Айрово;Ayrovo;Кърджали;Kardzhali;Кърджали;Kardzhali
151;8500;гр.;Айтос;Aytos;Айтос;Aytos;Бургас;Burgas
165;4483;с.;Аканджиево;Akandzhievo;Белово;Belovo;Пазарджик;Pazardzhik
179;3727;с.;Акациево;Akatsievo;Видин;Vidin;Видин;Vidin
182;9154;гр.;Аксаково;Aksakovo;Аксаково;Aksakovo;Варна;Varna
196;4984;с.;Аламовци;Alamovtsi;Златоград;Zlatograd;Смолян;Smolyan
206;6850;с.;Албанци;Albantsi;Джебел;Dzhebel;Кърджали;Kardzhali
215;7752;с.;Алваново;Alvanovo;Търговище;Targovishte;Търговище;Targovishte
223;2222;с.;Алдомировци;Aldomirovtsi;Сливница;Slivnitsa;София;Sofia
254;4411;с.;Алеко Константиново;Aleko Konstantinovo;Пазарджик;Pazardzhik;Пазарджик;Pazardzhik
237;5288;с.;Алеково;Alekovo;Свищов;Svishtov;Велико Търново;Veliko Tarnovo
240;7555;с.;Алеково;Alekovo;Алфатар;Alfatar;Силистра;Silistra
268;9404;с.;Александрия;Aleksandria;Крушари;Krushari;Добрич;Dobrich
271;8211;с.;Александрово;Aleksandrovo;Поморие;Pomorie;Бургас;Burgas
285;5289;с.;Александрово;Aleksandrovo;Свищов;Svishtov;Велико Търново;Veliko Tarnovo
299;5560;с.;Александрово;Aleksandrovo;Ловеч;Lovech;Ловеч;Lovech
309;6154;с.;Александрово;Aleksandrovo;Павел баня;Pavel banya;Стара Загора;Stara Zagora
312;7761;с.;Александрово;Aleksandrovo;Търговище;Targovishte;Търговище;Targovishte
326;6351;с.;Александрово;Aleksandrovo;Хасково;Haskovo;Хасково;Haskovo
330;9829;с.;Александрово;Aleksandrovo;Смядово;Smyadovo;Шумен;Shumen
343;8653;с.;Александрово;Aleksandrovo;Стралджа;Straldzha;Ямбол;Yambol
360;9565;с.;Александър Стамболийски;Aleksandar Stamboliyski;Генерал Тошево;General Toshevo;Добрич;Dobrich
83421;4621;с.;Алендарова;Alendarova;Велинград;Velingrad;Пазарджик;Pazardzhik
388;4787;с.;Алиговска;Aligovska;Смолян;Smolyan;Смолян;Smolyan
391;2019;с.;Алино;Alino;Самоков;Samokov;София;Sofia
401;3251;с.;Алтимир;Altimir;Бяла Слатина;Byala Slatina;Враца;Vratsa
415;7570;гр.;Алфатар;Alfatar;Алфатар;Alfatar;Силистра;Silistra
429;9434;с.;Алцек;Altsek;Добрич-селска;Dobrich-selska;Добрич;Dobrich
446;6373;с.;Ангел войвода;Angel voyvoda;Минерални бани;Mineralni bani;Хасково;Haskovo
432;9483;с.;Ангеларий;Angelariy;Тервел;Tervel;Добрич;Dobrich
456;5342;с.;Ангелов;Angelov;Габрово;Gabrovo;Габрово;Gabrovo
480;4331;с.;Анево;Anevo;Сопот;Sopot;Пловдив;Plovdiv
919;3776;с.;Антимово;Antimovo;Видин;Vidin;Видин;Vidin
494;7628;с.;Антимово;Antimovo;Тутракан;Tutrakan;Силистра;Silistra
504;2089;с.;Антон;Anton;Антон;Anton;София;Sofia
518;7970;гр.;Антоново;Antonovo;Антоново;Antonovo;Търговище;Targovishte
521;5094;с.;Аплаци;Aplatsi;Елена;Elena;Велико Търново;Veliko Tarnovo
549;2128;с.;Априлово;Aprilovo;Горна Малина;Gorna Malina;София;Sofia
552;6281;с.;Априлово;Aprilovo;Гълъбово;Galabovo;Стара Загора;Stara Zagora
566;7864;с.;Априлово;Aprilovo;Попово;Popovo;Търговище;Targovishte
905;6888;с.;Априлци;Apriltsi;Кирково;Kirkovo;Кърджали;Kardzhali
52218;5641;гр.;Априлци;Apriltsi;Априлци;Apriltsi;Ловеч;Lovech
571;4445;с.;Априлци;Apriltsi;Пазарджик;Pazardzhik;Пазарджик;Pazardzhik
583;5029;с.;Арбанаси;Arbanasi;Велико Търново;Veliko Tarnovo;Велико Търново;Veliko Tarnovo
597;4790;с.;Арда;Arda;Смолян;Smolyan;Смолян;Smolyan
607;6750;гр.;Ардино;Ardino;Ардино;Ardino;Кърджали;Kardzhali
610;2386;с.;Арзан;Arzan;Брезник;Breznik;Перник;Pernik
624;9246;с.;Арковна;Arkovna;Дългопол;Dalgopol;Варна;Varna
638;5347;с.;Армените;Armenite;Габрово;Gabrovo;Габрово;Gabrovo
641;5363;с.;Армянковци;Armyankovtsi;Трявна;Tryavna;Габрово;Gabrovo
655;6069;с.;Арнаутито;Arnautito;Стара Загора;Stara Zagora;Стара Загора;Stara Zagora
669;4922;с.;Арпаджик;Arpadzhik;Мадан;Madan;Смолян;Smolyan
672;3770;с.;Арчар;Archar;Димово;Dimovo;Видин;Vidin
697;6149;с.;Асен;Asen;Павел баня;Pavel banya;Стара Загора;Stara Zagora
702;4230;гр.;Асеновград;Asenovgrad;Асеновград;Asenovgrad;Пловдив;Plovdiv
713;8933;с.;Асеновец;Asenovets;Нова Загора;Nova Zagora;Сливен;Sliven
730;5159;с.;Асеново;Asenovo;Стражица;Strazhitsa;Велико Търново;Veliko Tarnovo
744;5957;с.;Асеново;Asenovo;Никопол;Nikopol;Плевен;Pleven
758;8667;с.;Асеново;Asenovo;Тунджа;Tundzha;Ямбол;Yambol
761;5913;с.;Асеновци;Asenovtsi;Левски;Levski;Плевен;Pleven
775;8485;с.;Аспарухово;Asparuhovo;Карнобат;Karnobat;Бургас;Burgas
789;9260;с.;Аспарухово;Asparuhovo;Дългопол;Dalgopol;Варна;Varna
792;3661;с.;Аспарухово;Asparuhovo;Медковец;Medkovets;Монтана;Montana
802;5914;с.;Аспарухово;Asparuhovo;Левски;Levski;Плевен;Pleven
63015;8140;с.;Атия;Atia;Созопол;Sozopol;Бургас;Burgas
816;8683;с.;Атолово;Atolovo;Стралджа;Straldzha;Ямбол;Yambol
828;6821;с.;Ауста;Austa;Момчилград;Momchilgrad;Кърджали;Kardzhali
833;8217;гр.;Ахелой;Aheloy;Поморие;Pomorie;Бургас;Burgas
847;4128;с.;Ахматово;Ahmatovo;Садово;Sadovo;Пловдив;Plovdiv
864;6761;с.;Ахрянско;Ahryansko;Ардино;Ardino;Кърджали;Kardzhali
878;8280;гр.;Ахтопол;Ahtopol;Царево;Tsarevo;Бургас;Burgas
2021;7861;с.;Баба Тонка;Baba Tonka;Попово;Popovo;Търговище;Targovishte
2035;4156;с.;Бабек;Babek;Брезово;Brezovo;Пловдив;Plovdiv
2049;2683;с.;Бабино;Babino;Бобов дол;Bobov dol;Кюстендил;Kyustendil
2052;2668;с.;Бабинска река;Babinska reka;Бобов дол;Bobov dol;Кюстендил;Kyustendil
7884;5726;с.;Бабинци;Babintsi;Тетевен;Teteven;Ловеч;Lovech
2066;2365;с.;Бабица;Babitsa;Брезник;Breznik;Перник;Pernik
2076;4774;с.;Баблон;Bablon;Смолян;Smolyan;Смолян;Smolyan
2083;7068;с.;Бабово;Babovo;Сливо поле;Slivo pole;Русе;Ruse
2097;7573;с.;Бабук;Babuk;Силистра;Silistra;Силистра;Silistra
2107;2784;с.;Бабяк;Babyak;Белица;Belitsa;Благоевград;Blagoevgrad
2110;5094;с.;Багалевци;Bagalevtsi;Елена;Elena;Велико Търново;Veliko Tarnovo
2124;6749;с.;Багра;Bagra;Кърджали;Kardzhali;Кърджали;Kardzhali
2138;2530;с.;Багренци;Bagrentsi;Кюстендил;Kyustendil;Кюстендил;Kyustendil
2141;6944;с.;Багрилци;Bagriltsi;Крумовград;Krumovgrad;Кърджали;Kardzhali
2155;6819;с.;Багрянка;Bagryanka;Момчилград;Momchilgrad;Кърджали;Kardzhali
2169;5093;с.;Бадевци;Badevtsi;Елена;Elena;Велико Търново;Veliko Tarnovo
2172;2676;с.;Бадино;Badino;Бобошево;Boboshevo;Кюстендил;Kyustendil
2191;5087;с.;Баевци;Baevtsi;Елена;Elena;Велико Търново;Veliko Tarnovo
2207;5304;с.;Баевци;Baevtsi;Габрово;Gabrovo;Габрово;Gabrovo
2213;5095;с.;Баждари;Bazhdari;Елена;Elena;Велико Търново;Veliko Tarnovo
2227;5861;с.;Байкал;Baykal;Долна Митрополия;Dolna Mitropolia;Плевен;Pleven
2230;2427;с.;Байкалско;Baykalsko;Радомир;Radomir;Перник;Pernik
2244;9767;с.;Байково;Baykovo;Хитрино;Hitrino;Шумен;Shumen
2258;2133;с.;Байлово;Baylovo;Горна Малина;Gorna Malina;София;Sofia
2261;6698;с.;Бакалите;Bakalite;Черноочене;Chernoochene;Кърджали;Kardzhali
2289;2295;с.;Бакьово;Bakyovo;Своге;Svoge;София;Sofia
2292;6816;с.;Балабаново;Balabanovo;Момчилград;Momchilgrad;Кърджали;Kardzhali
2302;5615;с.;Балабанско;Balabansko;Троян;Troyan;Ловеч;Lovech
2333;5370;с.;Балалея;Balaleya;Дряново;Dryanovo;Габрово;Gabrovo
2347;5301;с.;Баланите;Balanite;Габрово;Gabrovo;Габрово;Gabrovo
2350;2680;с.;Баланово;Balanovo;Дупница;Dupnitsa;Кюстендил;Kyustendil
2364;5064;с.;Балван;Balvan;Велико Търново;Veliko Tarnovo;Велико Търново;Veliko Tarnovo
2378;5388;с.;Балванците;Balvantsite;Дряново;Dryanovo;Габрово;Gabrovo
2381;2948;с.;Балдево;Baldevo;Гърмен;Garmen;Благоевград;Blagoevgrad
2395;3797;с.;Балей;Baley;Брегово;Bregovo;Видин;Vidin
2405;9485;с.;Балик;Balik;Тервел;Tervel;Добрич;Dobrich
2419;5342;с.;Балиновци;Balinovtsi;Габрово;Gabrovo;Габрово;Gabrovo
2436;6363;с.;Балкан;Balkan;Стамболово;Stambolovo;Хасково;Haskovo
2453;4245;с.;Балкан махала;Balkan mahala;Лъки;Laki;Пловдив;Plovdiv
2448;5634;с.;Балканец;Balkanets;Троян;Troyan;Ловеч;Lovech
2467;7265;с.;Балкански;Balkanski;Разград;Razgrad;Разград;Razgrad
2470;5162;с.;Балканци;Balkantsi;Стражица;Strazhitsa;Велико Търново;Veliko Tarnovo
2484;9549;с.;Балканци;Balkantsi;Генерал Тошево;General Toshevo;Добрич;Dobrich
2498;5081;с.;Балуци;Balutsi;Елена;Elena;Велико Търново;Veliko Tarnovo
2508;9600;гр.;Балчик;Balchik;Балчик;Balchik;Добрич;Dobrich
2511;1217;с.;Балша;Balsha;Столична община;Stolichna obshtina;София;Sofia
2539;2060;с.;Бальовци;Balyovtsi;Ихтиман;Ihtiman;София;Sofia
2542;3529;с.;Балювица;Balyuvitsa;Берковица;Berkovitsa;Монтана;Montana
2556;5370;с.;Банари;Banari;Дряново;Dryanovo;Габрово;Gabrovo
2563;5351;с.;Бангейци;Bangeytsi;Трявна;Tryavna;Габрово;Gabrovo
2587;7167;с.;Баниска;Baniska;Две могили;Dve mogili;Русе;Ruse
44402;4940;с.;Баните;Banite;Баните;Banite;Смолян;Smolyan
2590;3077;с.;Баница;Banitsa;Враца;Vratsa;Враца;Vratsa
2600;2905;с.;Баничан;Banichan;Гоце Делчев;Gotse Delchev;Благоевград;Blagoevgrad
2614;2388;с.;Банище;Banishte;Брезник;Breznik;Перник;Pernik
2628;7997;с.;Банковец;Bankovets;Антоново;Antonovo;Търговище;Targovishte
2631;5300;с.;Банковци;Bankovtsi;Габрово;Gabrovo;Габрово;Gabrovo
2645;2466;с.;Банкя;Bankya;Трън;Tran;Перник;Pernik
2659;1320;гр.;Банкя;Bankya;Столична община;Stolichna obshtina;София;Sofia
2662;9144;с.;Баново;Banovo;Суворово;Suvorovo;Варна;Varna
2676;2770;гр.;Банско;Bansko;Банско;Bansko;Благоевград;Blagoevgrad
2689;2060;с.;Банчовци;Banchovtsi;Ихтиман;Ihtiman;София;Sofia
2693;2778;с.;Баня;Banya;Разлог;Razlog;Благоевград;Blagoevgrad
2703;8239;с.;Баня;Banya;Несебър;Nesebar;Бургас;Burgas
2717;4523;с.;Баня;Banya;Панагюрище;Panagyurishte;Пазарджик;Pazardzhik
2720;4360;гр.;Баня;Banya;Карлово;Karlovo;Пловдив;Plovdiv
2734;8914;с.;Баня;Banya;Нова Загора;Nova Zagora;Сливен;Sliven
2748;2634;с.;Бараково;Barakovo;Кочериново;Kocherinovo;Кюстендил;Kyustendil
2751;6910;с.;Бараци;Baratsi;Крумовград;Krumovgrad;Кърджали;Kardzhali
2779;4830;с.;Барутин;Barutin;Доспат;Dospat;Смолян;Smolyan
2796;7071;с.;Басарбово;Basarbovo;Русе;Ruse;Русе;Ruse
2806;2883;с.;Баскалци;Baskaltsi;Петрич;Petrich;Благоевград;Blagoevgrad
2810;8218;с.;Бата;Bata;Поморие;Pomorie;Бургас;Burgas
2823;5228;с.;Батак;Batak;Павликени;Pavlikeni;Велико Търново;Veliko Tarnovo
2837;4580;гр.;Батак;Batak;Батак;Batak;Пазарджик;Pazardzhik
72223;2340;гр.;Батановци;Batanovtsi;Перник;Pernik;Перник;Pernik
2854;7172;с.;Батин;Batin;Борово;Borovo;Русе;Ruse
2868;7169;с.;Батишница;Batishnitsa;Две могили;Dve mogili;Русе;Ruse
2871;9364;с.;Батово;Batovo;Добрич-селска;Dobrich-selska;Добрич;Dobrich
2885;5470;с.;Батошево;Batoshevo;Севлиево;Sevlievo;Габрово;Gabrovo
2899;2295;с.;Батулия;Batulia;Своге;Svoge;София;Sofia
2909;5764;с.;Батулци;Batultsi;Ябланица;Yablanitsa;Ловеч;Lovech
2912;3068;с.;Баурене;Baurene;Криводол;Krivodol;Враца;Vratsa
2926;2219;с.;Бахалин;Bahalin;Сливница;Slivnitsa;София;Sofia
2935;5567;с.;Баховица;Bahovitsa;Ловеч;Lovech;Ловеч;Lovech
2943;5367;с.;Бахреци;Bahretsi;Трявна;Tryavna;Габрово;Gabrovo
2957;5948;с.;Бацова махала;Batsova mahala;Никопол;Nikopol;Плевен;Pleven
2960;2769;с.;Бачево;Bachevo;Разлог;Razlog;Благоевград;Blagoevgrad
2974;4251;с.;Бачково;Bachkovo;Асеновград;Asenovgrad;Пловдив;Plovdiv
2991;6777;с.;Башево;Bashevo;Ардино;Ardino;Кърджали;Kardzhali
3006;6669;с.;Бащино;Bashtino;Кърджали;Kardzhali;Кърджали;Kardzhali
3017;7619;с.;Бащино;Bashtino;Главиница;Glavinitsa;Силистра;Silistra
3023;6068;с.;Бащино;Bashtino;Опан;Opan;Стара Загора;Stara Zagora
3037;7745;с.;Баячево;Bayachevo;Търговище;Targovishte;Търговище;Targovishte
3040;9381;с.;Бдинци;Bdintsi;Добрич-селска;Dobrich-selska;Добрич;Dobrich
3054;5084;с.;Беброво;Bebrovo;Елена;Elena;Велико Търново;Veliko Tarnovo
3068;5872;с.;Беглеж;Beglezh;Плевен;Pleven;Плевен;Pleven
3085;4166;с.;Бегово;Begovo;Калояново;Kaloyanovo;Пловдив;Plovdiv
3099;2395;с.;Бегуновци;Begunovtsi;Брезник;Breznik;Перник;Pernik
3109;4359;с.;Бегунци;Beguntsi;Карлово;Karlovo;Пловдив;Plovdiv
3112;4817;с.;Беден;Beden;Девин;Devin;Смолян;Smolyan
3126;9924;с.;Беджене;Bedzhene;Нови пазар;Novi pazar;Шумен;Shumen
3157;9567;с.;Бежаново;Bezhanovo;Генерал Тошево;General Toshevo;Добрич;Dobrich
3143;5792;с.;Бежаново;Bezhanovo;Луковит;Lukovit;Ловеч;Lovech
3174;9637;с.;Безводица;Bezvoditsa;Балчик;Balchik;Добрич;Dobrich
3188;6718;с.;Безводно;Bezvodno;Черноочене;Chernoochene;Кърджали;Kardzhali
3191;2236;с.;Безден;Bezden;Костинброд;Kostinbrod;София;Sofia
3201;3454;с.;Безденица;Bezdenitsa;Монтана;Montana;Монтана;Montana
3215;9480;с.;Безмер;Bezmer;Тервел;Tervel;Добрич;Dobrich
3229;8637;с.;Безмер;Bezmer;Тунджа;Tundzha;Ямбол;Yambol
3232;5094;с.;Бейковци;Beykovtsi;Елена;Elena;Велико Търново;Veliko Tarnovo
3246;5300;с.;Бекриите;Bekriite;Габрово;Gabrovo;Габрово;Gabrovo
3561;2793;с.;Бел камен;Bel kamen;Якоруда;Yakoruda;Благоевград;Blagoevgrad
3263;3965;с.;Бела;Bela;Димово;Dimovo;Видин;Vidin
3280;3731;с.;Бела Рада;Bela Rada;Видин;Vidin;Видин;Vidin
3277;2453;с.;Беланица;Belanitsa;Радомир;Radomir;Перник;Pernik
3294;2881;с.;Беласица;Belasitsa;Петрич;Petrich;Благоевград;Blagoevgrad
3304;4124;с.;Белащица;Belashtitsa;Родопи;Rodopi;Пловдив;Plovdiv
3318;9690;с.;Белгун;Belgun;Каварна;Kavarna;Добрич;Dobrich
3321;4738;с.;Белев дол;Belev dol;Смолян;Smolyan;Смолян;Smolyan
3335;2800;с.;Белевехчево;Belevehchevo;Сандански;Sandanski;Благоевград;Blagoevgrad
3349;8345;с.;Белеврен;Belevren;Средец;Sredets;Бургас;Burgas
3366;5930;гр.;Белене;Belene;Белене;Belene;Плевен;Pleven
3373;5783;с.;Беленци;Belentsi;Луковит;Lukovit;Ловеч;Lovech
3383;3441;с.;Бели брег;Beli breg;Бойчиновци;Boychinovtsi;Монтана;Montana
3397;3447;с.;Бели брод;Beli brod;Бойчиновци;Boychinovtsi;Монтана;Montana
3407;6262;с.;Бели бряг;Beli bryag;Раднево;Radnevo;Стара Загора;Stara Zagora
3410;6702;с.;Бели вир;Beli vir;Черноочене;Chernoochene;Кърджали;Kardzhali
3424;6590;с.;Бели дол;Beli dol;Ивайловград;Ivaylovgrad;Хасково;Haskovo
3438;3040;с.;Бели извор;Beli izvor;Враца;Vratsa;Враца;Vratsa
3441;2011;с.;Бели Искър;Beli Iskar;Самоков;Samokov;София;Sofia
24092;7293;с.;Бели Лом;Beli Lom;Лозница;Loznitsa;Разград;Razgrad
3486;5662;с.;Бели Осъм;Beli Osam;Троян;Troyan;Ловеч;Lovech
3499;6689;с.;Бели пласт;Beli plast;Кърджали;Kardzhali;Кърджали;Kardzhali
3455;8316;с.;Белила;Belila;Средец;Sredets;Бургас;Burgas
3469;3462;с.;Белимел;Belimel;Чипровци;Chiprovtsi;Монтана;Montana
3472;7432;с.;Белинци;Belintsi;Исперих;Isperih;Разград;Razgrad
3504;2780;гр.;Белица;Belitsa;Белица;Belitsa;Благоевград;Blagoevgrad
3513;5363;с.;Белица;Belitsa;Трявна;Tryavna;Габрово;Gabrovo
3530;4242;с.;Белица;Belitsa;Лъки;Laki;Пловдив;Plovdiv
3527;7648;с.;Белица;Belitsa;Тутракан;Tutrakan;Силистра;Silistra
7960;2062;с.;Белица;Belitsa;Ихтиман;Ihtiman;София;Sofia
3544;6557;с.;Белица;Belitsa;Любимец;Lyubimets;Хасково;Haskovo
3558;5628;с.;Белиш;Belish;Троян;Troyan;Ловеч;Lovech
3664;2709;с.;Бело поле;Belo pole;Благоевград;Blagoevgrad;Благоевград;Blagoevgrad
3678;3961;с.;Бело поле;Belo pole;Ружинци;Ruzhintsi;Видин;Vidin
3575;7321;с.;Беловец;Belovets;Кубрат;Kubrat;Разград;Razgrad
3589;4182;с.;Беловица;Belovitsa;Хисаря;Hisarya;Пловдив;Plovdiv
3592;4470;гр.;Белово;Belovo;Белово;Belovo;Пазарджик;Pazardzhik
3602;9230;с.;Белоградец;Belogradets;Ветрино;Vetrino;Варна;Varna
3616;3900;гр.;Белоградчик;Belogradchik;Белоградчик;Belogradchik;Видин;Vidin
27440;8219;с.;Белодол;Belodol;Поморие;Pomorie;Бургас;Burgas
3620;4130;с.;Белозем;Belozem;Раковски;Rakovski;Пловдив;Plovdiv
3633;9801;с.;Белокопитово;Belokopitovo;Шумен;Shumen;Шумен;Shumen
3647;7917;с.;Беломорци;Belomortsi;Омуртаг;Omurtag;Търговище;Targovishte
3650;5340;с.;Беломъжите;Belomazhite;Габрово;Gabrovo;Габрово;Gabrovo
3681;6588;с.;Белополци;Belopoltsi;Ивайловград;Ivaylovgrad;Хасково;Haskovo
3695;6584;с.;Белополяне;Belopolyane;Ивайловград;Ivaylovgrad;Хасково;Haskovo
3705;2132;с.;Белопопци;Belopoptsi;Горна Малина;Gorna Malina;София;Sofia
3719;9178;гр.;Белослав;Beloslav;Белослав;Beloslav;Варна;Varna
3722;3499;с.;Белотинци;Belotintsi;Монтана;Montana;Монтана;Montana
3745;7138;с.;Белцов;Beltsov;Ценово;Tsenovo;Русе;Ruse
3753;5035;с.;Белчевци;Belchevtsi;Велико Търново;Veliko Tarnovo;Велико Търново;Veliko Tarnovo
3767;2025;с.;Белчин;Belchin;Самоков;Samokov;София;Sofia
3770;2024;с.;Белчински бани;Belchinski bani;Самоков;Samokov;София;Sofia
3784;2824;с.;Бельово;Belyovo;Сандански;Sandanski;Благоевград;Blagoevgrad
3798;5031;с.;Беляковец;Belyakovets;Велико Търново;Veliko Tarnovo;Велико Търново;Veliko Tarnovo
3808;7134;с.;Беляново;Belyanovo;Ценово;Tsenovo;Русе;Ruse
3811;9133;с.;Бенковски;Benkovski;Аврен;Avren;Варна;Varna
3860;9380;с.;Бенковски;Benkovski;Добрич-селска;Dobrich-selska;Добрич;Dobrich
3825;6865;с.;Бенковски;Benkovski;Кирково;Kirkovo;Кърджали;Kardzhali
3839;4201;с.;Бенковски;Benkovski;Марица;Maritsa;Пловдив;Plovdiv
3842;2076;с.;Бенковски;Benkovski;Мирково;Mirkovo;София;Sofia
3856;6055;с.;Бенковски;Benkovski;Стара Загора;Stara Zagora;Стара Загора;Stara Zagora
3873;2488;с.;Берайнци;Berayntsi;Трън;Tran;Перник;Pernik
3887;2435;с.;Беренде;Berende;Земен;Zemen;Перник;Pernik
3890;2212;с.;Беренде;Berende;Драгоман;Dragoman;София;Sofia
3900;2212;с.;Беренде извор;Berende izvor;Драгоман;Dragoman;София;Sofia
3914;5438;с.;Бериево;Berievo;Севлиево;Sevlievo;Габрово;Gabrovo
3928;3500;гр.;Берковица;Berkovitsa;Берковица;Berkovitsa;Монтана;Montana
3931;7857;с.;Берковски;Berkovski;Попово;Popovo;Търговище;Targovishte
3945;5093;с.;Берковци;Berkovtsi;Елена;Elena;Велико Търново;Veliko Tarnovo
3959;8448;с.;Бероново;Beronovo;Сунгурларе;Sungurlare;Бургас;Burgas
3962;2587;с.;Берсин;Bersin;Кюстендил;Kyustendil;Кюстендил;Kyustendil
3976;2934;с.;Беслен;Beslen;Хаджидимово;Hadzhidimovo;Благоевград;Blagoevgrad
3986;6698;с.;Беснурка;Besnurka;Черноочене;Chernoochene;Кърджали;Kardzhali
3993;5849;с.;Биволаре;Bivolare;Долна Митрополия;Dolna Mitropolia;Плевен;Pleven
4008;6837;с.;Биволяне;Bivolyane;Момчилград;Momchilgrad;Кърджали;Kardzhali
4011;5035;с.;Бижовци;Bizhovtsi;Велико Търново;Veliko Tarnovo;Велико Търново;Veliko Tarnovo
4025;5350;с.;Бижовци;Bizhovtsi;Трявна;Tryavna;Габрово;Gabrovo
4039;8885;с.;Биково;Bikovo;Сливен;Sliven;Сливен;Sliven
4042;2383;с.;Билинци;Bilintsi;Брезник;Breznik;Перник;Pernik
4056;8551;с.;Билка;Bilka;Руен;Ruen;Бургас;Burgas
4068;5370;с.;Билкини;Bilkini;Дряново;Dryanovo;Габрово;Gabrovo
4090;9691;с.;Било;Bilo;Каварна;Kavarna;Добрич;Dobrich
4100;4789;с.;Билянска;Bilyanska;Смолян;Smolyan;Смолян;Smolyan
4114;8855;с.;Бинкос;Binkos;Сливен;Sliven;Сливен;Sliven
7836;4650;с.;Биркова;Birkova;Велинград;Velingrad;Пазарджик;Pazardzhik
4128;6470;с.;Бисер;Biser;Харманли;Harmanli;Хасково;Haskovo
4131;7334;с.;Бисерци;Bisertsi;Кубрат;Kubrat;Разград;Razgrad
4145;7557;с.;Бистра;Bistra;Алфатар;Alfatar;Силистра;Silistra
4159;7777;с.;Бистра;Bistra;Търговище;Targovishte;Търговище;Targovishte
4162;7121;с.;Бистренци;Bistrentsi;Бяла;Byala;Русе;Ruse
4176;8334;с.;Бистрец;Bistrets;Средец;Sredets;Бургас;Burgas
4193;9412;с.;Бистрец;Bistrets;Крушари;Krushari;Добрич;Dobrich
4203;3527;с.;Бистрилица;Bistrilitsa;Берковица;Berkovitsa;Монтана;Montana
4217;2724;с.;Бистрица;Bistritsa;Благоевград;Blagoevgrad;Благоевград;Blagoevgrad
4220;2644;с.;Бистрица;Bistritsa;Дупница;Dupnitsa;Кюстендил;Kyustendil
4234;1444;с.;Бистрица;Bistritsa;Столична община;Stolichna obshtina;София;Sofia
4248;6769;с.;Бистроглед;Bistrogled;Ардино;Ardino;Кърджали;Kardzhali
4251;3488;с.;Благово;Blagovo;Монтана;Montana;Монтана;Montana
4265;9812;с.;Благово;Blagovo;Шумен;Shumen;Шумен;Shumen
4279;2700;гр.;Благоевград;Blagoevgrad;Благоевград;Blagoevgrad;Благоевград;Blagoevgrad
4282;5178;с.;Благоево;Blagoevo;Стражица;Strazhitsa;Велико Търново;Veliko Tarnovo
4296;7275;с.;Благоево;Blagoevo;Разград;Razgrad;Разград;Razgrad
4306;6955;с.;Благун;Blagun;Крумовград;Krumovgrad;Кърджали;Kardzhali
4314;2678;с.;Блажиево;Blazhievo;Бобошево;Boboshevo;Кюстендил;Kyustendil
4323;2548;с.;Блатец;Blatets;Кюстендил;Kyustendil;Кюстендил;Kyustendil
4337;8878;с.;Блатец;Blatets;Сливен;Sliven;Сливен;Sliven
4340;2441;с.;Блатешница;Blateshnitsa;Земен;Zemen;Перник;Pernik
4354;2617;с.;Блатино;Blatino;Дупница;Dupnitsa;Кюстендил;Kyustendil
4368;4537;с.;Блатница;Blatnitsa;Стрелча;Strelcha;Пазарджик;Pazardzhik
4371;2657;с.;Блато;Blato;Бобов дол;Bobov dol;Кюстендил;Kyustendil
4399;2941;с.;Блатска;Blatska;Хаджидимово;Hadzhidimovo;Благоевград;Blagoevgrad
4409;6742;с.;Бленика;Blenika;Кърджали;Kardzhali;Кърджали;Kardzhali
4412;8174;с.;Близнак;Bliznak;Малко Търново;Malko Tarnovo;Бургас;Burgas
4426;9132;с.;Близнаци;Bliznatsi;Аврен;Avren;Варна;Varna
4430;9787;с.;Близнаци;Bliznatsi;Хитрино;Hitrino;Шумен;Shumen
4443;8896;с.;Близнец;Bliznets;Твърдица;Tvarditsa;Сливен;Sliven
4457;9240;с.;Блъсково;Blaskovo;Провадия;Provadia;Варна;Varna
4460;5078;с.;Блъсковци;Blaskovtsi;Елена;Elena;Велико Търново;Veliko Tarnovo
4474;5453;с.;Боазът;Boazat;Севлиево;Sevlievo;Габрово;Gabrovo
4488;5300;с.;Бобевци;Bobevtsi;Габрово;Gabrovo;Габрово;Gabrovo
4491;2567;с.;Бобешино;Bobeshino;Кюстендил;Kyustendil;Кюстендил;Kyustendil
4501;2670;гр.;Бобов дол;Bobov dol;Бобов дол;Bobov dol;Кюстендил;Kyustendil
