municipality_code;municipality;municipality_latin;rik_code;rik_name
1523;Искър;Iskar;15;Плевен
1524;Плевен;Pleven;15;Плевен
1527;Пордим;Pordim;15;Плевен
1537;Червен бряг;Cherven bryag;15;Плевен
1539;Кнежа;Knezha;15;Плевен
1622;Пловдив;Plovdiv;16;Пловдив
1701;Асеновград;Asenovgrad;17;Пловдив Област
1707;Брезово;Brezovo;17;Пловдив Област
1712;Калояново;Kaloyanovo;17;Пловдив Област
1713;Карлово;Karlovo;17;Пловдив Област
1715;Лъки;Laki;17;Пловдив Област
1717;Марица;Maritsa;17;Пловдив Област
1723;Първомай;Parvomay;17;Пловдив Област
1725;Раковски;Rakovski;17;Пловдив Област
1726;Родопи;Rodopi;17;Пловдив Област
1728;Садово;Sadovo;17;Пловдив Област
1733;Съединение;Saedinenie;17;Пловдив Област
1737;Хисаря;Hisarya;17;Пловдив Област
1739;Кричим;Krichim;17;Пловдив Област
1740;Перущица;Perushtitsa;17;Пловдив Област
1741;Стамболийски;Stamboliyski;17;Пловдив Област
1742;Куклен;Kuklen;17;Пловдив Област
1743;Сопот;Sopot;17;Пловдив Област
1811;Завет;Zavet;18;Разград
1814;Исперих;Isperih;18;Разград
1816;Кубрат;Kubrat;18;Разград
1817;Лозница;Loznitsa;18;Разград
1826;Разград;Razgrad;18;Разград
1829;Самуил;Samuil;18;Разград
1836;Цар Калоян;Tsar Kaloyan;18;Разград
1903;Борово;Borovo;19;Русе
1904;Бяла;Byala;19;Русе
1905;Ветово;Vetovo;19;Русе
1908;Две могили;Dve mogili;19;Русе
1913;Иваново;Ivanovo;19;Русе
1927;Русе;Ruse;19;Русе
1933;Сливо поле;Slivo pole;19;Русе
1937;Ценово;Tsenovo;19;Русе
2001;Алфатар;Alfatar;20;Силистра
2007;Главиница;Glavinitsa;20;Силистра
2010;Дулово;Dulovo;20;Силистра
2015;Кайнарджа;Kaynardzha;20;Силистра
2031;Силистра;Silistra;20;Силистра
