code;name;mapping
250;ИСТИНАТА И САМО ИСТИНАТА;ИСТИНАТА И САМО ИСТИНАТА
250;ИСТИНАТА И САМО ИСТИНАТА;НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА
255;КОЙ;КОЙ
255;КОЙ;НИЕ ГРАЖДАНИТЕ БЪЛГАРСКАТА ПРОЛЕТ КОЙ БРСП НАЦИЯ
255;КОЙ;НАЦИЯ
255;КОЙ;КОАЛИЦИЯ СПРАВЕДЛИВА БЪЛГАРИЯ
260;БСДД;БСДД
260;БСДД;БСДД БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ
260;БСДД;БСДД ДИРЕКТНА ДЕМОКРАЦИЯ
260;БСДД;БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ БСДД
265;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ
270;МИР;МИР
270;МИР;ПАРТИЯ МИР
275;ПРАВОТО;ПРАВОТО
280;КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ;КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ
280;КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ;НИЕ ГРАЖДАНИТЕ КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ БЪЛГАРСКА ДЕМОКРАТИЧНА ОБЩНОСТ
285;ЗЕЛЕНО ДВИЖЕНИЕ;ЗЕЛЕНО ДВИЖЕНИЕ
290;ВЪН ОТ ЕС И НАТО;ВЪН ОТ ЕС И НАТО
295;ЕДИНЕНИЕ;ЕДИНЕНИЕ
300;НДСВ;НДСВ
305;ГРАЖДАНСКИ БЛОК;ГРАЖДАНСКИ БЛОК
305;ГРАЖДАНСКИ БЛОК;КП ГРАЖДАНСКИ БЛОК ГБ
310;БЪЛГАРСКИ ГЛАСЪ;БЪЛГАРСКИ ГЛАСЪ
315;ГРАЖДАНИ ОТ ПРОТЕСТА;ГРАЖДАНИ ОТ ПРОТЕСТА
320;БЛАГОДЕНСТВИЕ ОБЕДИНЕНИЕ ГРАДИВНОСТ;БЛАГОДЕНСТВИЕ ОБЕДИНЕНИЕ ГРАДИВНОСТ
325;БЪЛГАРИЯ НА ТРУДА И РАЗУМА;БЪЛГАРИЯ НА ТРУДА И РАЗУМА
325;БЪЛГАРИЯ НА ТРУДА И РАЗУМА;БТР БЪЛГАРИЯ НА ТРУДА И РАЗУМА
330;ДОСТ;ДОСТ
335;ЗА ВЕЛИКА БЪЛГАРИЯ;ЗА ВЕЛИКА БЪЛГАРИЯ
340;БРИГАДА;БРИГАДА
345;БУЛГАРИ;БУЛГАРИ
350;ВОЛЯ;ВОЛЯ
355;НАЦИОНАЛНО ДВИЖЕНИЕ ЕДИНСТВО;НАЦИОНАЛНО ДВИЖЕНИЕ ЕДИНСТВО
700;ЧАВДАР ИВАНОВ ПОПОВ;ЧАВДАР ИВАНОВ ПОПОВ
705;ВЕСЕЛИН НАЙДЕНОВ МАРЕШКИ;ВЕСЕЛИН НАЙДЕНОВ МАРЕШКИ
710;ДАВИД ЛЕОН ЛЕВИ;ДАВИД ЛЕОН ЛЕВИ
715;ПЛАМЕН ВЛАДИМИРОВ МАСАРЛИЕВ;ПЛАМЕН ВЛАДИМИРОВ МАСАРЛИЕВ
720;МИЛЕН ГАНЕВ МИЛЕВ;МИЛЕН ГАНЕВ МИЛЕВ
725;ПЕТЪР КОНСТАНТИНОВ НИЗАМОВ;ПЕТЪР КОНСТАНТИНОВ НИЗАМОВ
730;ЦВЕТАН ХРИСТОВ АТАНАСОВ;ЦВЕТАН ХРИСТОВ АТАНАСОВ
735;ЛУНА ЙОРДАНОВА ЙОРДАНОВА;ЛУНА ЙОРДАНОВА ЙОРДАНОВА
999;Не подкрепям никого;НЕ ПОДКРЕПЯМ НИКОГО
