code;name;registration_code;registration_sub_code;registration_name
100;ГЕРБ СДС;24;0;ГЕРБ СДС
105;ДПС;1;0;ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ ДПС
110;БСП;28;0;БСП ЗА БЪЛГАРИЯ
115;ИМА ТАКЪВ НАРОД;19;0;ИМА ТАКЪВ НАРОД
120;ВЪЗРАЖДАНЕ;14;0;ВЪЗРАЖДАНЕ
135;ДБ;25;0;ДЕМОКРАТИЧНА БЪЛГАРИЯ ОБЕДИНЕНИЕ ДА БЪЛГАРИЯ ДСБ ЗЕЛЕНО ДВИЖЕНИЕ
145;ИЗПРАВИ СЕ БГ;17;0;ИЗПРАВИ СЕ БЪЛГАРИЯ
145;ИЗПРАВИ СЕ БГ;21;0;ЕДИННА НАРОДНА ПАРТИЯ
155;ВМРО;5;0;ВМРО БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ
160;ПРОДЪЛЖАВАМЕ ПРОМЯНАТА;9;0;ПРОДЪЛЖАВАМЕ ПРОМЯНАТА
170;НФСБ;8;0;НФСБ
175;БНО;3;0;БНО
180;БЪЛГАРСКИ ВЪЗХОД;15;0;БЪЛГАРСКИ ВЪЗХОД
190;РУСОФИЛИ И КОМУНИСТИ;29;0;РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;18;0;ДВИЖЕНИЕ НА НЕПАРТИЙНИТЕ КАНДИДАТИ
210;АТАКА;27;0;АТАКА
220;ГЛАС НАРОДЕН;20;0;ГЛАС НАРОДЕН
225;ПРЯКА ДЕМОКРАЦИЯ;7;0;ПРЯКА ДЕМОКРАЦИЯ
235;КОД;11;0;КОД КОНСЕРВАТИВНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА
240;ЕВРОЛЕВИЦА;26;0;БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ ЕВРОЛЕВИЦА
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;16;0;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
250;ИСТИНАТА И САМО ИСТИНАТА;23;0;НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА
255;КОЙ;6;0;КОАЛИЦИЯ СПРАВЕДЛИВА БЪЛГАРИЯ
260;БСДД;2;0;БСДД БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ
270;МИР;10;0;МИР
275;ПРАВОТО;22;0;ПРАВОТО
280;КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ;13;0;КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ
325;БЪЛГАРИЯ НА ТРУДА И РАЗУМА;12;0;БТР БЪЛГАРИЯ НА ТРУДА И РАЗУМА
355;НАЦИОНАЛНО ДВИЖЕНИЕ ЕДИНСТВО;4;0;НАЦИОНАЛНО ДВИЖЕНИЕ ЕДИНСТВО
730;ЦВЕТАН ХРИСТОВ АТАНАСОВ;30;3;ЦВЕТАН ХРИСТОВ АТАНАСОВ
735;ЛУНА ЙОРДАНОВА ЙОРДАНОВА;30;25;ЛУНА ЙОРДАНОВА ЙОРДАНОВА
999;НЕ ПОДКРЕПЯМ НИКОГО;99;0;НЕ ПОДКРЕПЯМ НИКОГО
