code;name;registration_code;registration_name
105;ДПС;1;ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ ДПС
260;БСДД;2;БСДД БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ
175;БНО;3;БНО
355;НАЦИОНАЛНО ДВИЖЕНИЕ ЕДИНСТВО;4;НАЦИОНАЛНО ДВИЖЕНИЕ ЕДИНСТВО
155;ВМРО;5;ВМРО БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ
255;КОЙ;6;КОАЛИЦИЯ СПРАВЕДЛИВА БЪЛГАРИЯ
225;ПРЯКА ДЕМОКРАЦИЯ;7;ПРЯКА ДЕМОКРАЦИЯ
170;НФСБ;8;НФСБ
160;ПРОДЪЛЖАВАМЕ ПРОМЯНАТА;9;ПРОДЪЛЖАВАМЕ ПРОМЯНАТА
270;МИР;10;МИР
235;КОД;11;КОД КОНСЕРВАТИВНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА
325;БЪЛГАРИЯ НА ТРУДА И РАЗУМА;12;БТР БЪЛГАРИЯ НА ТРУДА И РАЗУМА
280;КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ;13;КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ
120;ВЪЗРАЖДАНЕ;14;ВЪЗРАЖДАНЕ
180;БЪЛГАРСКИ ВЪЗХОД;15;БЪЛГАРСКИ ВЪЗХОД
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;16;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
145;ИЗПРАВИ СЕ БГ;17;ИЗПРАВИ СЕ БЪЛГАРИЯ
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;18;ДВИЖЕНИЕ НА НЕПАРТИЙНИТЕ КАНДИДАТИ
115;ИМА ТАКЪВ НАРОД;19;ИМА ТАКЪВ НАРОД
220;ГЛАС НАРОДЕН;20;ГЛАС НАРОДЕН
145;ИЗПРАВИ СЕ БГ;21;ЕДИННА НАРОДНА ПАРТИЯ
275;ПРАВОТО;22;ПРАВОТО
250;ИСТИНАТА И САМО ИСТИНАТА;23;НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА
100;ГЕРБ СДС;24;ГЕРБ СДС
135;ДБ;25;ДЕМОКРАТИЧНА БЪЛГАРИЯ ОБЕДИНЕНИЕ ДА БЪЛГАРИЯ ДСБ ЗЕЛЕНО ДВИЖЕНИЕ
240;ЕВРОЛЕВИЦА;26;БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ ЕВРОЛЕВИЦА
210;АТАКА;27;АТАКА
110;БСП;28;БСП ЗА БЪЛГАРИЯ
190;РУСОФИЛИ И КОМУНИСТИ;29;РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО
999;НЕ ПОДКРЕПЯМ НИКОГО;99;НЕ ПОДКРЕПЯМ НИКОГО
