section_id;failed_machines_count
010300018;1
010300052;1
011100034;1
013300079;1
013300082;1
014000045;1
021800006;1
030601047;1
030602115;1
030602180;1
030604328;1
040600020;1
040600061;1
042800009;1
072900055;1
102900030;1
102900031;1
104800031;1
111800070;1
121100004;1
121100019;1
122400034;1
122900002;1
123600003;1
130300002;1
131400003;1
131900003;1
131900061;1
131900080;1
132100002;1
132400005;1
132400006;1
132900023;1
143200114;1
143200121;1
152400125;1
162201071;1
162203009;1
162206007;1
162206027;1
171300014;1
172500027;1
172500028;1
190800002;1
192700138;1
203100172;1
212000055;1
212000067;1
234610093;1
234615020;1
234615021;2
244601039;1
244604046;1
244604047;1
244607033;1
244614058;1
254611061;1
254612004;1
263900018;1
264300003;1
264700007;1
271200052;1
273100009;1
273100060;1
273100061;1
283500058;1
283500072;1
290900018;1
293300010;1
301900005;1
325300688;1
