section_id;party;votes
010100018;1;0
010100018;2;0
010100018;3;0
010100018;4;0
010100018;5;0
010100018;6;0
010100018;7;0
010100018;8;0
010100018;9;6
010100018;10;0
010100018;11;0
010100018;12;0
010100018;13;0
010100018;14;5
010100018;15;0
010100018;16;0
010100018;17;0
010100018;18;1
010100018;19;1
010100018;20;0
010100018;22;0
010100018;23;0
010100018;24;8
010100018;25;0
010100018;26;0
010100018;27;0
010100018;28;2
010100018;29;0
010100018;99;0
010100018;100;23
010100018;101;23
010100018;102;0
010100018;103;23
010100018;104;28
010100018;105;7
010100018;106;23
010100019;1;0
010100019;2;0
010100019;3;0
010100019;4;0
010100019;5;0
010100019;6;0
010100019;7;0
010100019;8;0
010100019;9;2
010100019;10;0
010100019;11;0
010100019;12;0
010100019;13;1
010100019;14;0
010100019;15;0
010100019;16;0
010100019;17;0
010100019;18;0
010100019;19;1
010100019;20;0
010100019;22;0
010100019;23;0
010100019;24;9
010100019;25;1
010100019;26;0
010100019;27;0
010100019;28;16
010100019;29;0
010100019;99;0
010100019;100;30
010100019;101;30
010100019;102;0
010100019;103;30
010100019;104;41
010100019;105;6
010100019;106;30
010100020;1;0
010100020;2;0
010100020;3;0
010100020;4;0
010100020;5;4
010100020;6;0
010100020;7;0
010100020;8;0
010100020;9;9
010100020;10;0
010100020;11;3
010100020;12;0
010100020;13;0
010100020;14;2
010100020;15;1
010100020;16;0
010100020;17;0
010100020;18;0
010100020;19;1
010100020;20;0
010100020;22;0
010100020;23;0
010100020;24;26
010100020;25;0
010100020;26;0
010100020;27;0
010100020;28;10
010100020;29;0
010100020;99;0
010100020;100;56
010100020;101;56
010100020;102;0
010100020;103;56
010100020;104;72
010100020;105;4
010100020;106;56
010100021;1;0
010100021;2;0
010100021;3;0
010100021;4;0
010100021;5;0
010100021;6;0
010100021;7;0
010100021;8;0
010100021;9;24
010100021;10;0
010100021;11;0
010100021;12;0
010100021;13;0
010100021;14;0
010100021;15;1
010100021;16;1
010100021;17;0
010100021;18;0
010100021;19;0
010100021;20;0
010100021;22;0
010100021;23;0
010100021;24;28
010100021;25;0
010100021;26;0
010100021;27;0
010100021;28;19
010100021;29;0
010100021;99;1
010100021;100;73
010100021;101;80
010100021;102;6
010100021;103;73
010100021;104;130
010100021;105;2
010100021;106;80
010100022;1;0
010100022;2;0
010100022;3;0
010100022;4;0
010100022;5;1
010100022;6;0
010100022;7;0
010100022;8;0
010100022;9;6
010100022;10;0
010100022;11;0
010100022;12;0
010100022;13;0
010100022;14;8
010100022;15;1
010100022;16;0
010100022;17;2
010100022;18;0
010100022;19;3
010100022;20;0
010100022;22;0
010100022;23;0
010100022;24;63
010100022;25;1
010100022;26;0
010100022;27;0
010100022;28;20
010100022;29;0
010100022;99;3
010100022;100;105
010100022;101;110
010100022;102;2
010100022;103;105
010100022;104;192
010100022;105;3
010100022;106;110
010200011;1;132
010200011;2;0
010200011;3;0
010200011;4;0
010200011;5;0
010200011;6;0
010200011;7;0
010200011;8;0
010200011;9;1
010200011;10;0
010200011;11;0
010200011;12;0
010200011;13;0
010200011;14;0
010200011;15;0
010200011;16;0
010200011;17;0
010200011;18;1
010200011;19;0
010200011;20;0
010200011;22;0
010200011;23;0
010200011;24;4
010200011;25;0
010200011;26;0
010200011;27;0
010200011;28;1
010200011;29;0
010200011;99;0
010200011;100;139
010200011;101;145
010200011;102;6
010200011;103;139
010200011;104;165
010200011;105;4
010200011;106;145
010200013;1;18
010200013;2;0
010200013;3;0
010200013;4;0
010200013;5;0
010200013;6;0
010200013;7;0
010200013;8;0
010200013;9;0
010200013;10;0
010200013;11;0
010200013;12;0
010200013;13;0
010200013;14;0
010200013;15;0
010200013;16;0
010200013;17;0
010200013;18;0
010200013;19;0
010200013;20;0
010200013;22;0
010200013;23;0
010200013;24;2
010200013;25;0
010200013;26;0
010200013;27;0
010200013;28;1
010200013;29;0
010200013;99;0
010200013;100;21
010200013;101;21
010200013;102;0
010200013;103;21
010200013;104;30
010200013;105;4
010200013;106;21
010200014;1;160
010200014;2;0
010200014;3;0
010200014;4;0
010200014;5;0
010200014;6;0
010200014;7;0
010200014;8;0
010200014;9;1
010200014;10;0
010200014;11;0
010200014;12;0
010200014;13;0
010200014;14;0
010200014;15;0
010200014;16;0
010200014;17;0
010200014;18;0
010200014;19;0
010200014;20;0
010200014;22;0
010200014;23;0
010200014;24;3
010200014;25;0
010200014;26;0
010200014;27;0
010200014;28;0
010200014;29;0
010200014;99;0
010200014;100;164
010200014;101;167
010200014;102;3
010200014;103;164
010200014;104;192
010200014;105;3
010200014;106;167
010200015;1;110
010200015;2;0
010200015;3;0
010200015;4;0
010200015;5;1
010200015;6;0
010200015;7;0
010200015;8;0
010200015;9;5
010200015;10;0
010200015;11;0
010200015;12;0
010200015;13;0
010200015;14;0
010200015;15;0
010200015;16;0
010200015;17;0
010200015;18;1
010200015;19;0
010200015;20;0
010200015;22;0
010200015;23;0
010200015;24;18
010200015;25;0
010200015;26;0
010200015;27;0
010200015;28;1
010200015;29;0
010200015;99;1
010200015;100;136
010200015;101;144
010200015;102;7
010200015;103;136
010200015;104;166
010200015;105;4
010200015;106;144
010200016;1;183
010200016;2;0
010200016;3;0
010200016;4;0
010200016;5;0
010200016;6;0
010200016;7;0
010200016;8;0
010200016;9;0
010200016;10;0
010200016;11;0
010200016;12;0
010200016;13;0
010200016;14;0
010200016;15;0
010200016;16;0
010200016;17;0
010200016;18;0
010200016;19;0
010200016;20;0
010200016;22;0
010200016;23;0
010200016;24;1
010200016;25;0
010200016;26;0
010200016;27;0
010200016;28;1
010200016;29;0
010200016;99;0
010200016;100;185
010200016;101;190
010200016;102;5
010200016;103;185
010200016;104;205
010200016;105;2
010200016;106;190
010200017;1;102
010200017;2;0
010200017;3;0
010200017;4;0
010200017;5;1
010200017;6;0
010200017;7;0
010200017;8;0
010200017;9;0
010200017;10;0
010200017;11;0
010200017;12;0
010200017;13;0
010200017;14;0
010200017;15;0
010200017;16;0
010200017;17;0
010200017;18;0
010200017;19;0
010200017;20;0
010200017;22;0
010200017;23;0
010200017;24;2
010200017;25;0
010200017;26;0
010200017;27;0
010200017;28;2
010200017;29;0
010200017;99;0
010200017;100;107
010200017;101;108
010200017;102;1
010200017;103;107
010200017;104;127
010200017;105;4
010200017;106;108
010200018;1;28
010200018;2;0
010200018;3;0
010200018;4;0
010200018;5;0
010200018;6;0
010200018;7;0
010200018;8;0
010200018;9;0
010200018;10;0
010200018;11;0
010200018;12;0
010200018;13;0
010200018;14;0
010200018;15;0
010200018;16;0
010200018;17;0
010200018;18;0
010200018;19;0
010200018;20;0
010200018;22;0
010200018;23;0
010200018;24;6
010200018;25;0
010200018;26;0
010200018;27;0
010200018;28;1
010200018;29;0
010200018;99;0
010200018;100;35
010200018;101;37
010200018;102;2
010200018;103;35
010200018;104;67
010200018;105;4
010200018;106;37
010200019;1;170
010200019;2;0
010200019;3;0
010200019;4;0
010200019;5;0
010200019;6;0
010200019;7;0
010200019;8;0
010200019;9;0
010200019;10;0
010200019;11;0
010200019;12;0
010200019;13;0
010200019;14;0
010200019;15;0
010200019;16;0
010200019;17;0
010200019;18;0
010200019;19;0
010200019;20;0
010200019;22;0
010200019;23;0
010200019;24;0
010200019;25;0
010200019;26;0
010200019;27;0
010200019;28;27
010200019;29;0
010200019;99;0
010200019;100;197
010200019;101;197
010200019;102;0
010200019;103;197
010200019;104;199
010200019;105;0
010200019;106;197
010300018;1;9
010300018;2;0
010300018;3;0
010300018;4;1
010300018;5;0
010300018;6;0
010300018;7;0
