code;name;registration_code;registration_sub_code;registration_name
100;ГЕРБ СДС;22;0;ГЕРБ СДС
105;ДПС;28;0;ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ ДПС
110;БСП;24;0;БСП ЗА БЪЛГАРИЯ
115;ИМА ТАКЪВ НАРОД;1;0;ИМА ТАКЪВ НАРОД
120;ВЪЗРАЖДАНЕ;12;0;ВЪЗРАЖДАНЕ
125;ППДБ;14;0;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА ДЕМОКРАТИЧНА БЪЛГАРИЯ
145;ИЗПРАВИ СЕ БГ;21;0;НИЕ ИДВАМЕ
145;ИЗПРАВИ СЕ БГ;9;0;СОЛИДАРНА БЪЛГАРИЯ
150;ВЕЛИЧИЕ;25;0;ВЕЛИЧИЕ
155;ВМРО;26;0;ВМРО БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ
165;МЕЧ;13;0;МЕЧ
175;БНО;11;0;БНО
180;БЪЛГАРСКИ ВЪЗХОД;16;0;БЪЛГАРСКИ ВЪЗХОД
190;РУСОФИЛИ И КОМУНИСТИ;32;0;КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ РУСОФИЛИ И КОМУНИСТИ
195;ЛЕВИЦАТА;19;0;ЛЕВИЦАТА
200;СИНЯ БЪЛГАРИЯ;3;0;СИНЯ БЪЛГАРИЯ
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;20;0;ПАРТИЯ НА ЗЕЛЕНИТЕ
215;ЦЕНТЪР;8;0;ЦЕНТЪР
220;ГЛАС НАРОДЕН;2;0;ГЛАС НАРОДЕН
225;ПРЯКА ДЕМОКРАЦИЯ;27;0;ПРЯКА ДЕМОКРАЦИЯ
240;ЕВРОЛЕВИЦА;7;0;КОАЛИЦИЯ НА РОЗАТА
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;23;0;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
250;ИСТИНАТА И САМО ИСТИНАТА;15;0;НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА
255;КОЙ;4;0;НИЕ ГРАЖДАНИТЕ БЪЛГАРСКАТА ПРОЛЕТ КОЙ БРСП НАЦИЯ
260;БСДД;31;0;БСДД БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ
265;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ;18;0;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ
285;ЗЕЛЕНО ДВИЖЕНИЕ;29;0;ЗЕЛЕНО ДВИЖЕНИЕ
295;ЕДИНЕНИЕ;10;0;ЕДИНЕНИЕ
305;ГРАЖДАНСКИ БЛОК;17;0;КП ГРАЖДАНСКИ БЛОК ГБ
310;БЪЛГАРСКИ ГЛАСЪ;6;0;БЪЛГАРСКИ ГЛАСЪ
335;ЗА ВЕЛИКА БЪЛГАРИЯ;30;0;ЗА ВЕЛИКА БЪЛГАРИЯ
999;НЕ ПОДКРЕПЯМ НИКОГО;99;0;НЕ ПОДКРЕПЯМ НИКОГО
