code;name;registration_code;registration_name
115;ИМА ТАКЪВ НАРОД;1;ИМА ТАКЪВ НАРОД
220;ГЛАС НАРОДЕН;2;ГЛАС НАРОДЕН
200;СИНЯ БЪЛГАРИЯ;3;СИНЯ БЪЛГАРИЯ
255;КОЙ;4;НИЕ ГРАЖДАНИТЕ БЪЛГАРСКАТА ПРОЛЕТ КОЙ БРСП НАЦИЯ
310;БЪЛГАРСКИ ГЛАСЪ;6;БЪЛГАРСКИ ГЛАСЪ
240;ЕВРОЛЕВИЦА;7;КОАЛИЦИЯ НА РОЗАТА
215;ЦЕНТЪР;8;ЦЕНТЪР
145;ИЗПРАВИ СЕ БГ;9;СОЛИДАРНА БЪЛГАРИЯ
295;ЕДИНЕНИЕ;10;ЕДИНЕНИЕ
175;БНО;11;БНО
120;ВЪЗРАЖДАНЕ;12;ВЪЗРАЖДАНЕ
165;МЕЧ;13;МЕЧ
125;ППДБ;14;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА ДЕМОКРАТИЧНА БЪЛГАРИЯ
250;ИСТИНАТА И САМО ИСТИНАТА;15;НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА
180;БЪЛГАРСКИ ВЪЗХОД;16;БЪЛГАРСКИ ВЪЗХОД
305;ГРАЖДАНСКИ БЛОК;17;КП ГРАЖДАНСКИ БЛОК ГБ
265;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ;18;ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ
195;ЛЕВИЦАТА;19;ЛЕВИЦАТА
205;ПАРТИЯ НА ЗЕЛЕНИТЕ;20;ПАРТИЯ НА ЗЕЛЕНИТЕ
145;ИЗПРАВИ СЕ БГ;21;НИЕ ИДВАМЕ
100;ГЕРБ СДС;22;ГЕРБ СДС
245;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ;23;БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ НД
110;БСП;24;БСП ЗА БЪЛГАРИЯ
150;ВЕЛИЧИЕ;25;ВЕЛИЧИЕ
155;ВМРО;26;ВМРО БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ
225;ПРЯКА ДЕМОКРАЦИЯ;27;ПРЯКА ДЕМОКРАЦИЯ
105;ДПС;28;ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ ДПС
285;ЗЕЛЕНО ДВИЖЕНИЕ;29;ЗЕЛЕНО ДВИЖЕНИЕ
335;ЗА ВЕЛИКА БЪЛГАРИЯ;30;ЗА ВЕЛИКА БЪЛГАРИЯ
260;БСДД;31;БСДД БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ
190;РУСОФИЛИ И КОМУНИСТИ;32;КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ РУСОФИЛИ И КОМУНИСТИ
999;НЕ ПОДКРЕПЯМ НИКОГО;99;НЕ ПОДКРЕПЯМ НИКОГО
